gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
IDH3A	-0.295653675	-0.59145396	-0.351422239	-0.539511109	-0.213770677	-0.688532323	-0.191417928	-0.109372609	-0.252484452	-0.133280351	-0.2915582	-0.129357206	-0.774851031	-0.086953668
IDH3B	0.023839822	-0.012260086	0.089328979	-0.092850221	-0.097898696	-0.068992205	0.162371198	-0.090814966	0.190134755	0.08207607	0.158465101	-0.015344056	-0.157877584	0.126650417
IDI1	-0.377396239	-0.37393571	-0.679131536	-0.460653092	-0.335472162	-0.490018561	-0.317827972	-0.387176691	-0.403493665	-0.353008508	-0.272757836	-0.253750251	-0.149655364	-0.461662035
IDI2	-0.054181004	-0.013554266	-0.037792214	-0.031999642	-0.184904863	-0.12163332	-0.09815972	0.047304064	-0.216502314	-0.077740568	0.051074613	-0.082813618	0.083791776	-0.088488478
IDNK	-0.083828072	0.023560145	0.096581157	0.230828122	0.015393469	0.020362301	0.074882951	-0.029576439	-0.013901733	0.143764146	0.191055594	0.067359414	0.073863323	0.092423274
IDO1	0.170443371	0.118596714	-0.106433257	0.007937659	-0.068285316	0.247673156	0.067915216	0.027683433	0.080698676	0.191205915	-0.082464451	-0.002083285	-0.056653158	-0.043155249
IDUA	-0.009970736	0.154313284	0.087637314	-0.08710158	-0.042365475	0.048822047	0.058761108	0.132248899	0.142334343	0.065892376	0.10075396	0.067254348	0.029180689	0.092249996
IER2	-0.255586561	-0.317848945	-0.196844545	-0.425781598	-0.318439309	-0.282401503	-0.172292998	-0.284963162	-0.389355861	-0.209864573	-0.155239431	-0.308572583	-0.357310173	-0.133307689
IER3	-0.225210173	-0.191818842	-0.232717698	-0.031492376	-0.250963409	-0.264092727	-0.269449468	0.004648836	-0.184502336	-0.186042573	-0.14802402	-0.042639307	-0.090634405	-0.090298721
IER3IP1	-0.146150237	0.030666966	-0.270224782	-0.24719801	-0.217333356	-0.335096177	-0.304545979	-0.34173002	-0.043117849	-0.222823204	-0.536485401	-0.408154966	-0.691921719	-0.17229522
IER5	-0.095330633	-0.010288829	-0.018460825	-0.025827254	-0.055294074	-0.008383197	-0.202493116	-0.089720782	0.198783383	0.014103791	-0.177721245	0.101909031	0.147887683	-0.087082522
IER5L	-0.332192292	-0.238860106	-0.352606923	-0.413138362	-0.445218684	-0.475308018	-0.439084112	-0.313799802	-0.510126376	-0.40440021	-0.42130526	-0.406675936	-0.504267917	-0.325578755
IFFO1	-0.170182384	-0.189494024	-0.154798947	-0.109903085	-0.179608555	-0.183351209	-0.191292436	-0.14006428	-0.073934344	-0.244358011	-0.637442911	-0.112563641	-0.203972312	-0.097147716
IFFO2	0.02158835	-0.084534947	-0.007494659	-0.030189761	-0.059421946	0.02760858	-0.125992716	-0.031431731	-0.185110574	-0.044119542	0.003450401	0.006660096	-0.017461054	-0.004167369
IFI16	-0.022980948	-0.033912824	0.062919834	0.180747673	0.057732057	0.107179918	0.173339775	-0.021921215	0.152221384	0.061138798	0.083702107	0.095504521	0.107903016	0.058141816
IFI27	0.039065102	-0.016298141	0.047357863	0.04423516	0.142057123	0.069401545	0.132583142	0.036698665	-0.059554527	0.1323745	-0.005298958	0.031370549	0.142820323	0.010788426
IFI27L1	0.023353254	0.084296808	0.069489673	0.057690158	0.111081267	-0.102223811	0.032211842	0.147062361	0.037248824	0.152510245	-0.019490947	0.157761889	0.090296986	0.027711474
IFI27L2	0.046983183	0.087099706	0.036161555	0.15106236	0.063147356	0.032141246	0.128375634	0.076787809	0.079408982	0.095403963	0.070712057	0.05389007	0.139462128	0.08101265
IFI30	-0.168008086	-0.057187198	-0.01698039	-0.08438681	-0.161840391	-0.107528569	-0.14423041	-0.115007539	-0.162399906	-0.071911293	-0.280138603	-0.151231444	-0.176406203	-6.34E-05
IFI35	-0.184786379	-0.109696813	-0.037124396	-0.038645583	-0.236300085	-0.073297951	-0.09993267	-0.092959847	-0.123630897	-0.051785527	-0.199174566	-0.150744171	-0.058987701	-0.097995601
IFI44	0.024309948	-0.071199371	0.000627669	-0.026638339	0.001468274	0.01393782	0.00272756	0.041282024	0.008344016	-0.028713477	0.084270167	0.016814781	-0.065411918	0.021348352
IFI44L	0.03688787	0.01421558	0.054023991	0.118045549	0.089565778	0.067297646	-0.091129033	0.0323901	0.101335441	0.06321635	0.087937604	0.029703022	0.10430839	0.003714543
IFI6	0.007646689	-0.069335489	0.021612827	-0.132412681	0.040957906	0.073876577	-0.006611658	0.070182349	-0.055570332	0.015000376	-0.031915254	-0.061446169	-0.019772861	0.022313634
IFIH1	-0.146909005	0.003978781	0.060429192	0.014696898	-0.217955879	0.016336872	-0.039877588	-0.040506628	0.064396777	-0.007624218	-0.072841886	0.02528673	-0.046368795	-0.044348819
IFIT1	0.077394237	0.05296982	0.167873811	0.176392548	0.050325603	0.066749958	0.098541882	0.033027143	0.12032442	0.023437066	0.166872334	0.069123326	0.190268742	0.12384197
IFIT1B	-0.027985425	0.064694792	0.007029029	0.131849579	0.0134967	0.043464304	0.071272037	-0.077924006	0.111202636	0.006650817	0.095099352	0.023078387	0.027868415	0.026733123
IFIT2	-0.100389577	0.025016191	-0.02421965	-0.067701216	-0.047893257	-0.00343916	0.106119081	0.07298584	0.060559576	0.029115401	-0.051278667	-0.014581537	-0.292594792	0.039987733
IFIT3	-0.013069811	-0.037563297	-0.154419325	-0.051336502	-0.025708827	-0.107991818	-0.05961387	-0.057556481	-0.351121332	-0.038937673	-0.040090952	0.016230294	-0.136340646	0.09179226
IFIT5	0.041307722	0.004482142	0.051872183	0.092964062	0.08837206	0.032731763	0.039154679	-0.072074458	0.075528959	0.077013976	0.120309327	0.017467718	0.102245758	0.10504708
IFITM1	0.066390884	-0.067838618	-0.138643439	-0.095947435	-0.20132377	-0.100143138	-0.199026292	-0.202202622	-0.088413495	-0.136829233	-0.162870644	-0.130033961	-0.208809753	-0.123885941
IFITM10	0.060051424	0.029971707	-0.118300387	-0.032365617	0.030834325	0.01251118	0.020661764	-0.102848782	0.027061083	-0.035229794	0.088603386	-0.090407021	-0.032474194	-0.15124604
IFITM2	-0.118480388	-0.155980722	-0.287228198	-0.300743424	-0.210693207	-0.512075189	-0.300854679	-0.218806756	-0.220870746	-0.057489886	-0.400741816	-0.192389187	-0.312113623	-0.165392184
IFITM3	-0.160623456	-0.265826528	-0.220497382	-0.330729328	-0.346422401	-0.179477843	-0.34958785	-0.166204545	-0.417679695	-0.170722058	-0.225335573	-0.156622611	-0.059841005	-0.293677841
IFITM5	-0.154424981	-0.104543239	0.038011871	-0.214079198	-0.18049966	-0.11112222	-0.067667792	-0.03953364	-0.151558898	-0.027524455	-0.019160238	-0.121037773	0.004262006	-0.036911276
