gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A1BG	-0.016014845	-0.020072879	0.058181135	-0.074209332	-0.048449428	0.039270254	0.024783716	0.032255283	-0.074011206	-0.025341373	0.028239196	0.07199263	0.011919639	0.014843597
A1CF	-0.213588543	-0.099607492	-0.184146178	-0.175060154	-0.177664464	-0.220970097	-0.08531528	-0.172723303	-0.319145716	-0.23182869	-0.270875626	-0.081340391	-0.124343907	-0.116080631
A2M	-0.15924866	-0.102017691	-0.096966607	-0.065459622	-0.11644459	-0.093679769	-0.207775901	-0.206106943	-0.170300692	-0.263959585	-0.059966426	-0.067364484	-0.111167037	-0.028757731
A2ML1	-0.374547628	-0.289722334	-0.333843378	-0.22439317	-0.294807377	-0.206899667	-0.261352798	-0.317594031	-0.208548564	-0.314128685	-0.242685647	-0.136001053	-0.34628091	-0.201441467
A3GALT2	0.086856258	-0.003981409	0.103506485	0.142507334	0.038969311	0.081247451	0.088668619	0.075036546	0.071532546	0.024363121	0.084814002	0.064589864	0.156061499	0.064241626
A4GALT	-0.15115013	-0.102227114	-0.286231205	0.006294488	-0.195485148	-0.09245228	-0.090188145	-0.21134966	-0.191459183	-0.092128657	-0.092706376	-0.077371838	-0.096023095	-0.152419494
A4GNT	0.023310903	0.066898698	0.02164906	0.07577832	0.05437401	-0.11859589	0.110543877	-0.28368446	0.11272134	0.134915205	0.138638329	0.027784882	-0.013126769	-0.034538863
AAAS	-0.62598595	-0.76640361	-0.521946297	-0.554818408	-0.773325782	-0.576867013	-0.46354669	-0.46937756	-0.614484784	-0.677140582	-0.642425923	-0.453252382	-0.706763773	-0.705535577
AACS	-0.153174111	-0.164257949	-0.020106354	-0.037972199	-0.179562491	-0.278723755	-0.04930482	-0.133626666	-0.098949586	-0.005434104	-0.090814759	-0.142438964	-0.216436829	-0.181657387
AADAC	0.071698954	-0.085687026	0.090676194	0.04999112	0.069496078	0.025515121	0.135075487	0.030487997	0.078948419	0.011506519	-0.081601182	-0.005608313	-0.00645475	0.00563031
AADACL2	0.123978659	0.099040765	0.20020744	0.13857714	0.161945985	0.152735646	0.115966037	0.148941234	0.2001181	0.093792081	0.178257853	0.139094359	0.105708739	0.103191028
AADACL3	0.000248173	-0.067770431	0.002788233	-0.064911502	0.032734025	-0.023858278	-0.069664666	-0.011893456	0.00114004	0.001635381	-0.066496736	-0.11084843	-0.087168747	-0.038928959
AADACL4	-5.07E-06	-0.03571611	0.102184388	0.088096082	0.074964215	0.099435316	-0.038565471	0.029804786	-0.025755471	0.039414371	0.022640915	0.032565941	0.162552784	0.133904446
AADAT	0.222483278	0.148025907	0.1647724	0.150298838	0.119570791	0.077214151	0.10872247	0.131661859	0.197449065	0.11910418	0.140881833	0.088237771	0.083971793	0.071071088
AAED1	-0.039424715	-0.079955624	-0.163163855	-0.374652364	-0.17298334	-0.132267102	-0.22679967	-0.041620218	-0.156732578	-0.073088231	-0.067672016	-0.033561431	-0.134580898	-0.110960051
AAGAB	-0.02318731	-0.454154208	-0.301026524	-0.415355409	-0.315817859	-0.399611898	-0.485516742	-0.407783939	-0.59330533	-0.145791484	-0.526698124	-0.446823776	-0.378171935	-0.394921927
AAK1	-0.224757909	-0.211706222	-0.166953369	-0.292614059	-0.145815411	-0.283372977	-0.166874303	-0.100074969	-0.14698764	-0.158998495	-0.204582182	-0.177074101	-0.468801581	-0.018682777
AAMDC	0.005196562	-0.027783961	0.084097788	-0.161219637	-0.000858757	0.038116493	-0.031378617	-0.053527947	-0.033153145	-0.079101117	0.007682735	-0.066020221	-0.045222373	0.048764592
AAMP	-0.903932638	-0.897267281	-0.934267329	-0.95971605	-1.085430546	-0.841026256	-0.977941139	-0.898912963	-0.854148675	-0.984001213	-1.03300826	-0.906140116	-1.124417176	-0.76426373
AANAT	0.037198307	-0.080131057	0.090636119	-0.199769832	-0.120537279	-0.241220791	-0.207089654	-0.075926715	-0.160903928	-0.048857166	-0.18371148	-0.036719712	-0.191424968	0.021222693
AAR2	-0.218696675	-0.53512842	-0.120626689	-0.352141477	-0.217606335	-0.293156218	-0.267819279	-0.21375863	-0.07927957	-0.11444251	-0.339857452	-0.189512515	-0.044218919	-0.130366595
AARD	0.076126701	0.046041391	0.066545108	0.162221769	0.079768055	0.01380836	0.088514801	0.06261173	0.088737926	0.047333983	0.055422813	0.046287064	0.037295113	0.014965114
AARS	-1.005073622	-1.085745865	-0.995641159	-1.039549505	-1.032036153	-0.890368742	-1.01425574	-1.109274715	-1.032652253	-1.043410922	-0.986493604	-0.929621149	-0.954276949	-1.032075864
AARS2	-0.846915717	-0.798909241	-0.935938169	-1.029219489	-0.827148266	-1.087220732	-0.726490431	-1.103347988	-0.798595415	-0.92077014	-0.741829686	-0.799951157	-1.054296022	-0.778500904
AARSD1	-0.256073885	-0.312834771	-0.21139905	-0.302198658	-0.232366361	-0.320668221	-0.295941424	-0.338801606	-0.268906817	-0.383293281	-0.19268527	-0.315019293	-0.295671725	-0.279525168
AASDH	-0.167688689	-0.103662691	0.024696268	-0.216328332	-0.004212633	-0.045184345	-0.076898119	0.021464865	-0.01504438	-0.030832278	0.033396608	0.089877699	-0.005203667	0.082232825
AASDHPPT	-0.901007342	-1.038798261	-0.801764904	-0.710286942	-0.902878699	-0.723974952	-0.628418985	-0.866704342	-0.896512447	-0.88175647	-0.780640114	-0.97763872	-0.90962035	-0.89185489
AASS	0.153144312	-0.018574709	0.011607902	-0.047028952	0.014410959	0.07392247	-0.02906315	0.069389587	0.05989781	0.056648477	0.121566852	0.058008777	-0.007145981	0.089594741
AATF	-0.820626013	-0.85187732	-0.632450756	-0.860905061	-0.856252789	-0.794071773	-0.84720655	-0.865544796	-0.592498476	-0.968388129	-0.702519519	-0.726430917	-0.831021119	-0.633705807
AATK	-0.187988118	-0.196134867	-0.262733162	-0.165282342	-0.246040484	-0.24320605	-0.267208098	-0.151226364	-0.193706574	-0.152543177	-0.251551539	-0.142121616	-0.277042545	-0.118416043
ABAT	-0.020726144	0.010299245	-0.074682156	-0.024584368	0.046088014	0.023130832	-0.083449887	0.035080268	0.010777879	0.078894392	0.114321289	-0.081916491	0.035978667	0.020649242
ABCA1	-0.066521909	-0.136609067	-0.071808221	-0.182738991	-0.118040931	-0.065303527	-0.095855807	-0.045665058	-0.109601753	-0.153329681	-0.111060987	-0.217156368	-0.359014311	-0.365611523
ABCA10	-0.006744062	0.007558424	0.130023576	0.108054342	0.03839776	0.128141278	-0.025458253	0.018469945	0.125305644	0.011833421	0.008362983	0.097737695	0.005857328	0.064112937
ABCA12	0.117642695	0.073533116	0.047107008	0.073054755	0.059361002	0.036740771	0.089431452	0.101682706	0.035231398	0.076084896	0.064076714	0.125821127	-0.000328155	0.095730335
ABCA13	0.118069382	0.038188653	0.127378966	0.111784765	0.020643882	0.073808612	0.041635402	-0.003821522	0.093500699	0.020082048	0.05915808	0.06111614	0.12426764	-0.010327352
ABCA2	-0.091847268	-0.067193993	-0.021521772	-0.081232226	-0.101726236	-0.113710613	-0.042857859	-0.07154247	-0.169088513	-0.110187469	-0.124002934	-0.08718811	-0.059350132	-0.140456502
ABCA3	-0.476234661	-0.387061196	-0.370726811	-0.221113285	-0.732843217	-0.298142483	-0.439031423	-0.458568944	-0.443989623	-0.601041054	-0.130940768	-0.381057914	-0.341908496	-0.499062588
ABCA4	-0.104675413	-0.153006688	0.098207331	-0.019339689	-0.028788927	-0.044919283	-0.030513011	-0.043963863	-0.041994387	-0.02576623	-0.041073636	-0.09288379	-0.118019221	-0.052059925
ABCA5	0.046710288	-0.124055269	-0.036466821	0.060798274	0.074945629	-0.105386813	-0.034546319	-0.072769922	0.004802875	0.045981973	0.104859519	-0.049778231	-0.181557791	0.05574493
ABCA6	0.029215523	0.016626874	0.004800899	-0.040457798	-0.045000046	-0.064112994	0.068208096	-0.083111065	-0.013966479	-0.00317694	0.027536911	0.092850341	0.028118673	-0.046622429
ABCA7	-0.266610612	-0.215486605	-0.445405876	-0.248356286	-0.477115274	-0.306910076	-0.208634696	-0.184431275	-0.51026021	-0.285719923	-0.277426883	-0.149858608	-0.100877706	-0.309853035
ABCA8	-0.133199351	-0.165664675	-0.198534654	-0.100527664	-0.019849366	-0.186675232	-0.258807534	-0.00369233	-0.242819475	-0.15082113	-0.181462281	-0.202832458	-0.20696829	-0.207245809
ABCA9	-0.136423697	-0.082804037	0.02397369	-0.002367154	-0.032868713	-0.011625232	0.024831335	-0.018798605	-0.011037465	-0.030918445	0.085119127	0.044633668	-0.011616499	0.023950045
ABCB1	-0.118485552	-0.438949324	0.00974067	-0.042193733	0.004226237	0.023726201	-0.073127903	-0.105848014	-0.056688734	-0.004136044	-0.104025994	0.012068227	-0.091363214	0.051827248
ABCB10	-0.043317466	-0.314409499	-0.175697487	-0.143995391	-0.260058798	-0.147311882	-0.202765547	-0.027395686	-0.181968775	-0.169002146	-0.229350917	-0.125773362	-0.159666028	-0.149114044
ABCB11	0.070093659	0.059683771	0.179207067	-0.011135257	-0.043770563	-0.009974715	-0.041561377	0.063696652	0.005926272	0.003388104	0.020200842	0.020344605	-0.03105783	0.059051763
ABCB4	-0.020009879	-0.14223725	-0.023571983	0.096620346	-0.050666937	-0.128418734	-0.019240028	-0.016211369	0.003257862	-0.068006614	-0.080742735	-0.129981362	0.046923484	-0.090339848
ABCB5	0.078602322	0.149911035	0.086407245	0.086083001	0.119366996	0.105306957	0.127012629	0.191832552	0.131332638	0.063989829	0.153092194	0.117150912	0.131268812	0.060063504
ABCB6	0.190574497	0.061594841	-0.178852712	0.021698479	-0.055382018	-0.053512328	0.08246595	0.091110389	-0.049338549	0.002334694	-0.136679313	0.083036764	-0.054634048	0.083192766
ABCB8	-0.123509666	-0.096049885	-0.112790035	0.012096517	-0.122818039	-0.110626276	-0.141983073	0.072591127	-0.148132781	0.045838007	0.132006516	-0.053674013	-0.067365887	-0.048100923
ABCB9	-0.2557315	-0.373164483	-0.294852325	-0.295296309	-0.38357088	-0.165360574	-0.272085423	-0.192428839	-0.264091565	-0.379823114	-0.269177575	-0.23573595	-0.374973857	-0.283357443
ABCC1	-0.015050354	0.017462598	-0.369790706	-0.214582641	-0.232857074	-0.230715044	-0.274416012	-0.06178025	-0.107630162	0.011685932	-0.069997738	-0.072690486	-0.034872489	-0.150262377
ABCC10	-0.16885258	-0.116905539	-0.020870255	-0.046119836	0.031184042	-0.060691997	-0.029513975	-0.013466929	0.02775779	0.024259998	-0.060168764	0.083328012	-0.037658054	-0.054157325
ABCC11	-0.030894087	-0.053196118	0.02790904	0.115008789	0.025534812	0.046145042	0.03339651	-0.039544745	0.055220318	0.093133103	0.028556968	-0.090093608	-0.004655389	0.063934919
ABCC12	0.025938613	0.051992202	0.092279403	0.079720537	0.124680251	-0.131989388	0.023379877	-0.007991695	0.01522814	0.086478218	0.042783087	-0.004255069	0.064672038	0.088347055
ABCC2	-0.14833182	-0.206769791	-0.156960314	-0.098081744	-0.112109909	-0.153666699	-0.03273893	-0.151863807	-0.147351966	-0.203662058	-0.046124748	-0.189543479	-0.027035753	-0.047698636
ABCC3	-0.097460551	-0.064528021	-0.020470076	-0.149491627	-0.253804005	-0.015780308	-0.065715312	-0.098028702	-0.339399333	-0.08889415	-0.104724168	-0.196851477	-0.102797732	-0.06072405
ABCC4	0.065624521	0.016398944	0.134454036	0.061298719	0.068563139	0.098489743	0.032327276	0.138006201	0.010346491	0.081359356	0.132901343	0.098039409	0.027864632	0.040668449
ABCC5	0.026276186	0.001065913	0.129972094	0.067855688	-0.103701984	0.027300305	0.105352844	0.052263097	0.074810524	0.066202831	-0.062260786	0.008768267	-0.002236231	0.06141361
ABCC6	-0.117824531	-0.131494986	-0.060087659	-0.063234424	-0.192417376	0.008605455	-0.18165698	-0.092322561	-0.150191541	-0.110737047	-0.213983298	-0.18220934	-0.046477882	-0.096945676
ABCC8	0.078804107	0.032474883	-0.148649856	-0.076956206	-0.106110841	-0.149813891	-0.111610245	-0.099245448	-0.14277695	0.019136298	-0.228600306	-0.049022165	-0.211497371	-0.007627151
ABCC9	-0.066795665	-0.016219247	-0.000682033	-0.007393185	-0.03009371	-0.037600971	0.002417246	-0.061959109	-0.018640657	0.019585573	-0.062870121	-0.018180597	0.001727714	-0.115377919
ABCD2	0.059168867	-0.004362028	-0.02976695	0.013224129	0.066415914	0.049701352	0.087409066	-0.006200897	-0.002146857	0.055206409	0.049777622	0.043944689	-0.073436509	-0.089004489
ABCD3	0.035117283	-0.01069151	0.159035976	0.204951277	0.181786376	0.07182137	0.026107977	0.099035361	0.073069309	0.009256428	0.094388694	0.086995659	0.004571666	-0.153664733
ABCD4	-0.142361766	-0.263048687	0.006862785	-0.29232788	-0.247488161	-0.293703878	-0.290561522	-0.276450663	-0.374733395	-0.177386356	-0.47945524	-0.168164165	-0.498344377	-0.403362315
ABCE1	-0.595260625	-0.900883595	-0.852005217	-0.872511796	-0.693347168	-0.903680149	-0.70812005	-0.763766414	-0.834741968	-0.99584867	-0.754453906	-0.870585942	-0.963863125	-1.156231253
ABCF1	-0.946103303	-0.981678688	-0.843612494	-0.993804156	-1.250532272	-0.970423665	-1.124710355	-1.055789742	-1.176355864	-1.25706438	-0.901358527	-0.937402594	-1.108134982	-1.056942693
ABCF2	-0.469153612	-0.035871206	-0.444534955	-0.18934516	-0.337853716	-0.275045587	-0.19402309	-0.161031236	-0.153481936	-0.172498059	-0.409745321	-0.33747261	-0.189910405	-0.187090689
ABCF3	0.019891625	-0.240884695	0.031374993	-0.049560885	0.078530771	-0.014865019	0.040213087	0.074776511	0.111463916	-0.044456282	-0.179516	-0.058254867	0.066388204	-0.17546369
ABCG1	-0.071432548	0.029184035	-0.022388669	-0.065145331	0.003108218	-0.043649843	0.000272481	0.084854739	-0.074533854	0.010284222	-0.083499503	-0.053103443	-0.098315621	-0.016685502
ABCG2	-0.244937144	-0.235227266	-0.165167241	-0.154923274	-0.109231474	-0.133036623	-0.208230999	-0.147951746	-0.297570546	-0.162187918	0.05819083	-0.165335316	-0.147762109	-0.240458759
ABCG4	-0.036584914	-0.099657084	-0.127969413	-0.02484342	-0.17179707	-0.025393991	-0.149444681	-0.219505113	-0.146607743	0.00162382	-0.088467392	-0.169528017	-0.075749991	-0.04205199
ABCG5	-0.070625749	-0.059522312	0.034355618	0.00835281	-0.068556438	0.031799296	-0.098393396	0.089286469	-0.053798701	-0.068387231	-0.193123294	0.028971398	-0.215176133	-0.042856756
ABCG8	-0.055614805	-0.07826799	-0.089366777	0.047378846	-0.022021397	-0.061237876	-0.069542085	-0.010920246	0.009541256	-0.006435967	-0.210256472	0.029223256	-0.171866447	0.012401232
ABHD1	-0.071741834	-0.036123153	-0.007565606	0.014349062	-0.114819246	0.063016619	0.008811912	-0.271087745	-0.192386062	-0.060153469	-0.081987101	-0.076287066	-0.061016492	0.01805975
ABHD10	0.159322997	0.094631485	0.128689144	0.021779218	0.018452542	0.004268775	0.045237486	0.114361584	0.026960967	0.084837841	0.051196942	-6.57E-05	0.102457932	0.110677181
ABHD11	-1.149978921	-0.922843374	-1.366611667	-1.079145461	-1.217466803	-1.061392728	-0.870364701	-0.894642388	-1.052525453	-0.589859514	-0.941146338	-1.063420658	-1.187696915	-0.79437342
ABHD12	-0.030212643	-0.13995729	-0.37062111	-0.313362371	-0.104070587	-0.097078659	-0.154777327	-0.075741093	-0.076565019	0.011604865	-0.31868459	-0.127359843	-0.113574843	-0.334281947
ABHD12B	-0.246852374	-0.166772727	-0.209805805	-0.152475232	-0.27046809	-0.161800913	-0.208457818	-0.224644319	-0.283282412	-0.173923731	-0.34465459	-0.155068786	-0.071565706	-0.084854207
ABHD13	-0.202222257	0.002418941	0.098896365	-0.077939868	0.029443779	0.005322823	0.03985201	-0.165111343	0.097482571	-0.175503468	-0.039497524	-0.046107754	0.06510582	-0.485905293
ABHD14A	-0.079158854	-0.057600213	0.015275727	0.032564811	-0.001106935	-0.063472151	-0.033041465	-0.057000232	-0.074426028	0.005493623	-0.167849387	-0.041351784	-0.166366981	-0.034913975
ABHD14B	-0.241792292	-0.182822557	-0.201051225	-0.150304969	-0.163283514	-0.188942123	-0.141731347	-0.11825656	-0.260309963	-0.163375158	-0.298366225	-0.299779885	-0.157147778	-0.189125987
ABHD15	-0.213295962	-0.095505436	-0.242809963	-0.371134852	-0.351277541	-0.350657992	-0.295167577	-0.175499611	-0.286860945	-0.145404946	-0.285181989	-0.250084455	-0.24192243	-0.128062576
ABHD16A	-0.260826418	-0.414796066	-0.458112587	-0.196439053	-0.273600866	-0.4721932	-0.330883793	-0.507819608	-0.264212848	-0.252125728	-0.328987186	-0.202617861	-0.499630989	-0.432374629
ABHD16B	-0.10316794	-0.158591771	-0.257236284	-0.30054848	-0.297397566	-0.130847049	-0.241391514	-0.267521418	-0.384191585	-0.279975421	-0.048803328	-0.17993247	-0.149318708	-0.262667637
ABHD17A	-0.061389814	0.091001588	0.007908136	0.095479581	0.112288967	0.047629759	0.139366878	0.035246964	-0.053726013	0.048129749	0.030059885	0.023722189	0.047702306	0.038435022
ABHD17B	-0.072082215	0.075544949	0.055762869	-0.022278728	0.055576231	0.081076255	0.06399841	-0.336665165	0.09144092	-0.11903923	-0.096726557	-0.129422117	0.017842327	-0.389462302
ABHD17C	-0.018940784	-0.021466343	-0.042523113	-0.247913421	-0.215723098	-0.030802293	-0.06684704	-0.146821397	-0.014379313	-0.12172585	-0.054784377	0.02808754	-0.346865482	0.048001169
ABHD2	-0.18087408	-0.274319772	-0.247897492	-0.037419837	-0.017312464	-0.177148969	-0.190359042	-0.050241433	-0.223631549	-0.141452299	-0.194645039	-0.045505337	-0.126039937	-0.031486484
ABHD3	-0.157221323	-0.12582832	-0.029940768	-0.06769888	-0.092838348	-0.066601254	-0.160054064	-0.067701526	-0.140997492	-0.080876784	-0.149831941	-0.084214906	-0.098500289	-0.093808779
ABHD4	0.095080421	0.059897813	0.108121658	0.081876989	0.00577477	0.042230399	0.079190099	0.089575088	0.045998534	0.05019707	0.100288702	0.090434026	-0.048077999	0.025978792
ABHD5	-0.00863203	-0.055246859	-0.341373975	-0.205095888	-0.169062763	-0.229867246	-0.216831213	-0.152504312	-0.116230916	-0.11841408	-0.193729186	-0.287457101	-0.164559367	-0.288915505
ABHD6	0.204569641	0.199185801	0.238257536	0.216716568	0.197733219	0.241557214	0.121403024	0.277443133	0.286417073	0.228928145	0.23916421	0.199633206	0.16381223	0.176131261
ABHD8	-0.103137588	-0.197740683	-0.410961957	-0.278758063	0.027547012	-0.211441409	-0.196525449	-0.209427335	-0.301040543	-0.231918268	-0.063679564	-0.129343452	-0.385282876	-0.259503825
ABI1	-0.032749614	0.060465091	-0.149875792	-0.010602748	-0.068327794	-0.088126666	0.051871169	-0.126777574	-0.012138437	0.025178485	-0.005435114	-0.011263337	0.092263716	0.026877114
ABI2	0.106138419	0.101793707	0.079187555	0.157222659	0.164665591	0.096145586	0.089366495	0.00429736	0.073770104	0.105886916	0.076813676	0.069179295	0.063946003	0.073291918
ABI3	-0.364490559	-0.235409155	-0.431276382	-0.29856238	-0.333468606	-0.433501143	-0.29788805	-0.24426421	-0.361947451	-0.19634864	-0.3015093	-0.399943372	-0.332164324	-0.257124552
ABI3BP	0.011097536	-0.019547387	0.069567848	0.019760103	0.155497422	0.004141056	-0.028102573	0.038570417	0.011820635	0.02900366	-0.042096134	-0.013474625	-0.112883042	0.11465293
ABL1	-0.125457405	-0.12455512	-0.194906381	-0.149225571	-0.383500396	-0.141155253	-0.257450026	-0.173531939	-0.15513208	-0.205624721	-0.113211654	-0.27359398	-0.400369746	-0.180905176
ABL2	-0.041700675	-0.057732827	-0.142333142	-0.055888469	-0.100717583	-0.021461561	0.072393728	-0.047299601	-0.032281171	-0.080532653	-0.137124332	-0.077723779	-0.101290555	-0.003474279
ABLIM1	-0.505217277	-0.342112153	-0.179446466	-0.292676545	-0.334936708	-0.362866463	-0.31701882	-0.26799142	-0.275985255	-0.327060163	-0.055874636	-0.269165494	-0.391014116	-0.175789308
ABLIM2	0.095177498	-0.030092779	-0.010565582	0.011479087	-0.14249216	-0.013757254	-0.020329075	0.055719555	-0.094734852	-0.151898566	-0.070754664	-0.099627142	-0.147267812	-0.080955476
ABLIM3	-0.235123933	-0.208400922	-0.172119801	-0.010002861	0.003253282	-0.003443642	0.004204623	-0.08907748	-0.070388785	-0.089094524	0.020436064	-0.118553463	-0.022162315	-0.134803548
ABR	-0.019124108	-0.102303715	-0.28339154	-0.216096993	-0.3985592	-0.035898715	-0.246069467	-0.174254954	-0.446049358	-0.053750876	-0.092256726	-0.113143093	-0.265530181	-0.095551047
ABRA	-0.041266372	-0.174908909	-0.079963037	-0.168199293	-0.0411921	-0.044434587	0.00393064	-0.03733182	-0.003408228	-0.033599857	-0.014744177	-0.099594913	-0.011628454	-0.027727711
ABRACL	0.105548887	0.117852198	0.104841373	0.096564693	0.017294556	0.076664694	-0.010963628	0.114790593	0.098677033	0.083702771	0.157759703	0.134949469	0.074301139	-0.047852156
ABT1	-0.813043102	-0.643975646	-0.516299901	-0.771483869	-0.709849539	-0.695686255	-0.705245351	-0.785301439	-0.648806295	-0.674783441	-0.606441322	-0.624258071	-0.673212959	-0.818486068
ABTB1	0.043646006	0.037536947	0.02545211	0.063721912	-0.03285648	-0.020946326	0.013293348	0.055535178	-0.012080515	0.01069263	-0.094759292	-0.045761402	0.062464729	0.09292364
ABTB2	-0.066728651	0.01189892	-0.124638997	0.042572524	-0.033195018	-0.003806001	-0.066884898	-0.028012364	-0.082809849	-0.008488671	-0.038866123	-0.028526076	0.086245562	-0.024714245
ACAA1	0.073466857	0.029595437	0.098235562	0.160047885	0.109457461	0.107157189	0.134446067	-0.062619604	0.040156618	0.159899056	-0.034673026	0.058285329	-0.013954202	-0.040884134
ACAA2	0.121587107	0.10017974	0.135777691	0.128661358	0.138150346	0.083889227	0.104302641	0.095667013	-0.012996447	0.063614451	0.100514488	0.014621668	0.050182895	0.058121805
ACACA	0.113656723	0.133221252	0.435349261	-0.397654045	0.089659877	-0.052608105	-0.16034545	-0.291416251	0.055483221	-0.471697859	-0.629215983	-0.259642773	-0.474589936	0.104405742
ACACB	0.092020028	0.05652525	-0.083247092	0.042726631	-0.056862623	-0.225737903	-0.052436465	0.076433603	-0.138345551	0.134557984	-0.169515434	0.028881414	-0.137477232	-0.095467381
ACAD10	-0.174999254	-0.190397601	-0.009782151	-0.074281722	-0.189457523	0.082243116	-0.06899037	-0.213958869	-0.051622883	-0.023689629	-0.031425768	-0.094124277	-0.2115818	-0.001709653
ACAD11	-0.026997677	0.094751356	0.067363411	0.128240734	0.028430555	0.007093606	0.031361418	0.141716266	0.027993254	0.065719717	0.020511222	0.037222628	0.061828113	-0.085947715
ACAD8	-0.156977107	-0.273793863	-0.17476909	-0.234731478	-0.354647851	-0.461971611	-0.170186245	-0.122517646	-0.280048219	-0.238265671	-0.319188166	-0.14074664	-0.226335472	-0.318360438
ACAD9	-0.926462868	-0.524361681	-0.117701476	-0.528846402	-0.764225805	-0.51390405	-0.669457819	-0.787489846	-0.501398373	-0.581356619	-0.535495941	-0.169590277	-0.378682339	-0.460104814
ACADL	-0.047353429	-0.032209112	-0.063821206	-0.066522787	-0.089547495	-0.064367684	-0.065131355	0.010387573	-0.060133678	-0.093643093	0.028341556	-0.040013289	-0.092887815	-0.081830675
ACADM	-0.09409991	-0.091879904	-0.189055144	-0.071071452	-0.064986892	-0.085688454	-0.016395034	0.007888343	-0.103129777	0.006409314	-0.113296542	-0.11817882	0.012740323	0.107304425
ACADS	0.02706217	-0.034413196	0.04259403	-0.021083612	0.033955891	-0.082310701	0.014176133	-0.077766879	-0.095750258	-0.018109554	-0.032995237	-0.114083109	-0.156771156	0.072681859
ACADSB	-0.012469635	-0.050292947	0.007666938	0.067434543	-0.027288655	0.085374448	0.071803818	0.028740948	0.088730454	-0.023148921	-0.010707325	-0.014443289	0.002113316	-0.024074191
ACADVL	-0.159663869	-0.134037953	-0.083555264	-0.103356931	-0.279024384	-0.088181835	-0.166483814	-0.131191835	-0.213643838	-0.193051873	-0.149252585	-0.105720992	-0.322469367	-0.07525625
ACAN	-0.274181186	-0.184173798	-0.245496199	-0.215750232	-0.435927574	-0.315580709	-0.297407106	-0.23244289	-0.327661793	-0.278942569	-0.143720556	-0.24484589	-0.230144169	-0.326477216
ACAP1	-0.171306648	-0.164346778	-0.113067379	-0.013244135	-0.210991356	-0.049588423	-0.038285496	-0.178390842	-0.008120014	-0.099658928	-0.038387035	-0.146974868	-0.256597551	-0.169183601
ACAP2	-0.175037165	-0.156306343	0.09132239	-0.031619911	-0.102414002	0.129792921	0.124844021	0.098454769	-0.128713242	-0.095068144	-0.163371817	-0.069206809	0.076361385	-0.279177541
ACAP3	0.001967164	-0.152765182	-0.188884689	-0.235657587	-0.05585542	-0.064257245	-0.163872849	-0.128662845	-0.108319449	-0.027804409	-0.032546556	-0.240933714	-0.172527186	-0.046804607
ACAT1	-0.002216512	-0.062148498	-0.046532569	0.068642379	0.005875088	0.027405578	-0.032641933	-0.10643869	-0.011428624	-0.042742319	-0.14983694	0.033005046	-0.03025493	0.032873721
ACAT2	0.074888969	0.062142131	0.193099801	0.054349106	0.124811542	0.173051234	0.070262598	0.190637454	0.092137108	0.103339863	0.07533704	0.08648174	0.085842733	0.141640226
ACBD3	-0.269286799	-0.179176304	-0.438043377	-0.37170823	-0.382908631	-0.183433772	-0.674421179	-0.383216068	-0.37655167	-0.296086117	-0.284890152	-0.221760523	-0.372569304	-0.374915131
ACBD4	-0.396010364	-0.33877367	-0.358173461	-0.482309793	-0.447757666	-0.396430131	-0.451919058	-0.428433774	-0.572003302	-0.406983905	-0.362839709	-0.321623988	-0.370152689	-0.372507872
ACBD5	-0.010076084	0.092155189	0.081490989	-0.004647872	0.179219367	0.077002177	0.106705428	0.068482881	0.03049237	0.149437655	0.082677247	-0.068566421	-0.083537482	0.024328623
ACBD6	0.110185853	-0.037283067	0.01646322	0.022091897	0.079045061	0.010687772	0.005177236	0.084994861	-0.023545678	0.060889329	-0.166355722	0.130606728	0.048848904	-0.006878289
ACBD7	0.181496918	0.174545284	0.138119445	0.099494466	0.186118337	0.196255143	0.190657131	0.200356071	0.107967096	0.15172232	0.291161859	0.128791833	0.217311891	0.132000522
ACCS	-0.112687963	-0.022597836	0.003027315	-0.105457928	-0.201655464	0.008758738	-0.113843602	-0.018776035	-0.084035872	-0.151035059	-0.122182452	-0.006004685	-0.150459955	-0.081956122
ACCSL	-0.001297142	-0.021308456	0.067136312	-0.039672825	-0.005578192	0.05557357	0.086954251	0.028956853	-0.029871269	0.021299369	0.039483528	0.012806514	-0.048510277	-0.036651871
