gene	A375_SKIN	A673_BONE	BXPC3_PANCREAS	CADOES1_BONE	CAL120_BREAST	COLO741_SKIN	CORL105_LUNG	EW8_BONE	EWS502_BONE	G402_SOFT_TISSUE	HCC44_LUNG	HS294T_SKIN	HT29_LARGE_INTESTINE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L33_PANCREAS	LNCAPCLONEFGC_PROSTATE	MEWO_SKIN	MHHES1_BONE	NCIH1373_LUNG	NCIH2009_LUNG	PANC0327_PANCREAS	PANC0813_PANCREAS	PANC1_PANCREAS	PATU8902_PANCREAS	PATU8988T_PANCREAS	PC3_PROSTATE	RDES_BONE	SKES1_BONE	SU8686_PANCREAS	T47D_BREAST	TC32_BONE	TC71_BONE	TOV112D_OVARY
A1BG	-0.194441277	-0.056816108	-0.083837138	-0.140111896	0.111184291	0.037861338	0.035811856	-0.178076239	-0.065015705	-0.345710253	0.146561154	-0.303296745	-0.050695919	-0.17458874	0.163906962	-0.17369061	-0.003340581	-0.005442982	-0.082143297	-0.049596052	0.050730258	0.00077049	-0.005752803	-0.129434067	-0.232733861	-0.023141719	0.043050339	0.038724071	-0.145010969	-0.058145368	-0.073164021	0.017546761	-0.181622446
A1CF	-0.03383447	-0.095158381	-0.039013351	0.01373063	-0.202426725	-0.043320129	-0.074164783	-0.174728112	-0.125042164	-0.204312264	0.046489305	0.206848594	-0.028948553	-0.334829292	-0.006412984	-0.038262297	0.068873286	0.059570384	-0.116618178	-0.066871168	-0.039107067	-0.004021522	-0.094648282	-0.100056161	-0.012899878	-0.301067452	0.056673082	-0.112959406	-0.024783495	-0.055101064	0.066113934	0.134635625	-0.155930518
A2M	-0.133941744	-0.15372726	-0.151312087	-0.166467228	-0.195361481	-0.085544104	-0.141702749	-0.043877527	-0.085093558	-0.177219711	-0.180875192	-0.089598366	-0.079415743	-0.150154124	-0.301330695	-0.098686415	-0.17974518	-0.005173099	-0.245086423	0.061057479	-0.161024583	-0.049809544	-0.107063179	-0.005938814	-0.257758274	-0.130845802	-0.136004462	-0.172281197	-0.136828384	-0.136637753	-0.408550266	-0.222564047	-0.095603949
A2ML1	0.405552093	0.313574321	0.287152839	0.384219305	0.181504588	0.378946756	0.372071841	0.349792567	0.386243115	0.334257076	0.253316065	0.104895058	0.302419793	0.350954917	0.269819357	0.381126345	0.340107033	0.332758206	0.376380438	0.18928534	0.211791351	0.377535223	0.254403087	0.402587486	0.29026544	0.446255573	0.269902048	0.414629437	0.239003175	0.413231314	0.45411748	0.548288741	0.333666254
A3GALT2	0.100389131	0.214061435	0.043673621	0.049958156	0.096215217	0.264980064	0.182776629	0.099203728	0.083287416	0.155002563	0.099161918	0.306479181	0.172627651	0.146687914	0.24639106	0.192597847	0.129923599	0.204913792	0.116072265	0.125394945	-0.026334502	0.165656547	0.051736689	0.168621086	0.108301598	0.211079154	0.028355218	0.168190744	0.091739862	0.034992329	0.025592447	0.178132561	0.222395692
A4GALT	-0.105947563	-0.089796906	-0.161583276	-0.247216876	-0.162976774	-0.014326722	-0.013598384	-0.121768872	-0.110135245	-0.075600597	-0.080495796	-0.154526497	-0.091213795	-0.119918209	-0.149259581	-0.100275746	-0.093447258	-0.111597122	0.04404846	0.033725682	-0.078918223	-0.084174234	-0.145874088	-0.031398654	-0.045263413	-0.287401647	-0.083951228	-0.119891256	0.057799039	-0.247024536	-0.273772724	-0.162724326	-0.245235869
A4GNT	-0.371434444	-0.347818139	-0.446178162	-0.445645978	-0.520837203	-0.423058418	-0.337978091	-0.341704722	-0.404682383	-0.393232805	-0.279146221	-0.432558516	-0.21973456	-0.475920309	-0.408160732	-0.419397125	-0.329859202	-0.357169028	-0.633436279	-0.066879584	-0.410459845	-0.287500585	-0.420817529	-0.375164425	-0.354453539	-0.16906182	-0.468718653	-0.386919723	-0.257524623	-0.315707489	-0.437885233	-0.4062907	-0.651503794
AAAS	0.110008561	0.173683843	0.088727179	0.212473987	-0.014224146	0.188089097	-0.047893066	0.153974808	0.182439776	0.065448392	0.069911203	0.079434575	0.015361828	0.156661914	0.3603944	0.246792956	0.084040602	0.318708902	0.221898899	0.158749311	-0.031938073	0.194513557	0.103247341	-0.071759339	0.018973183	0.586305416	0.116148717	0.162516678	0.070349319	0.187972784	0.268302426	0.185408246	0.00468137
AACS	0.002394193	0.125749756	0.044621999	-0.021287502	-0.127379964	0.01797514	0.144468952	0.082464096	-0.053376196	-0.002693539	-0.155764084	0.006507931	-0.004221779	-0.178475013	0.211263361	-0.052562642	-0.064759497	0.007732214	-0.050201451	0.038000775	-0.188921034	0.003530127	-0.043701438	-0.054842795	0.021380043	-0.070811352	-0.062042693	0.038690547	0.052462681	0.056072654	0.022748299	0.079340053	0.02566558
AADAC	0.31096018	0.371853722	0.379168703	0.504691163	0.581093509	0.325259004	0.289355079	0.469296747	0.366124461	0.539447355	0.440088578	0.514056338	0.291973858	0.510284504	0.573103208	0.538097842	0.456387138	0.487708057	0.558140075	0.404767764	0.541528096	0.428749728	0.291011422	0.400640136	0.273405092	0.638400166	0.396617841	0.433732193	0.436196503	0.456830482	0.628568268	0.478318052	0.659416114
AADACL2	0.054835044	0.03469651	-0.003249676	0.193646977	-0.007156007	0.171239824	0.195232643	0.056077329	0.133689786	0.122062698	0.051429737	-0.084389346	0.081542261	0.155145777	-0.074159142	0.159729799	0.016485815	0.118068428	0.122533232	0.003076273	0.01478996	0.031751	0.067744944	0.053665741	-0.027200148	-0.167228256	0.136145327	0.044169044	-0.008984892	0.191700029	0.060541516	0.107669477	0.075713233
AADACL3	-0.106372911	-0.237631862	-0.18877702	-0.284069973	-0.359484176	-0.190914743	-0.154705307	0.062434308	-0.153889171	-0.017564338	-0.235180937	-0.083134491	-0.089071793	-0.081939545	-0.020480785	-0.14183973	-0.061914073	-0.194990371	-0.044360394	-0.01330219	-0.250284281	0.103532502	-0.219829451	-0.124878672	-0.221857726	-0.314090477	-0.161458643	-0.200066522	-0.024136025	-0.181776375	-0.133907795	-0.003136895	-0.203857921
AADACL4	0.161579102	0.22087735	0.196690366	0.142904807	-0.035783561	0.143678023	0.205082341	0.215774932	0.156813685	0.355292247	0.107957002	0.089572359	0.20497589	0.034166247	0.244558124	0.241535183	0.383244324	0.237960456	0.225716833	0.271404396	0.213874114	0.076090977	0.116040527	0.177118788	0.281623707	0.155480836	0.138182083	0.208192954	0.09473459	0.243429068	0.173830379	0.320047551	0.085254745
AADAT	0.013875421	-0.027407737	0.031408131	0.172826693	0.117920365	0.124352407	-0.124918549	-0.081156559	-0.096210947	-0.068264404	0.025781232	-0.050356553	0.044669256	0.105946161	0.096927196	0.010974684	0.118992586	-0.004172658	0.184701063	-0.05544064	-0.038321194	0.006273731	0.121670336	-0.040998217	-0.163156772	-0.161581316	0.093975446	0.06992939	-0.017397738	0.001901837	-0.102672637	0.00578674	-0.060160173
AAED1	-0.194094762	-0.188277575	-0.189241403	-0.066467525	-0.257316001	-0.073519726	-0.155056536	-0.100817766	-0.094769144	-0.040956385	-0.011249699	-0.083011101	-0.056918202	-0.138024051	-0.313360501	-0.0599507	-0.039256378	-0.05022968	-0.16554316	-0.155188184	-0.117828513	-0.22700975	-0.171932663	-0.014747818	-0.016396539	-0.292354232	-0.065498307	0.009483975	-0.125617855	-0.058957066	-0.263699963	-0.142701737	-0.147125413
AAGAB	-0.160483824	-0.319886277	-0.245072489	-0.052633389	0.09726492	-0.056243987	-0.146692264	-0.040437732	-0.016848953	-0.046377033	-0.039633381	-0.32425758	0.055217124	-0.528585018	-0.034543392	-0.207750059	-0.265641029	0.130070888	-0.32592459	-0.0063306	-0.399919122	-0.456926356	0.192811789	-0.405704173	-0.302912268	0.105215444	0.160965334	-0.01570913	-0.283784987	-0.08484132	-0.254849043	0.036865264	-0.057424643
AAK1	0.013689952	-0.065624732	0.076245789	0.239234318	-0.121078235	-0.011565315	-0.096045204	-0.038466139	-0.085557872	0.097409819	-0.171741242	-0.177600903	-0.020879654	0.138202801	0.097816601	-0.022466703	0.007929011	0.064199969	-0.0657244	-0.008872257	-0.214126832	-0.060517465	0.00664634	0.170442783	-0.031090137	-0.152098315	0.037566026	0.05334411	0.093057487	0.011158756	-0.111248104	0.116978075	0.129847954
AAMDC	0.189206478	0.245175479	0.169831334	0.266885528	0.096137252	0.145758889	-0.053928808	0.175242275	0.176365069	0.246233203	0.178521595	0.116387112	0.125797603	0.164137596	0.29810784	0.243780922	0.132160097	0.096230455	0.107190486	0.038596752	0.186364677	0.154594798	0.136490987	0.052338778	0.178865793	0.326541555	0.151890449	0.160226352	0.171249368	0.235437153	0.30512466	0.431794806	0.194731885
AAMP	-0.884014073	-0.788275443	-0.900127171	-0.821475894	-0.672303903	-0.807441547	-0.64075022	-0.79880573	-0.629607244	-0.766799062	-0.841669884	-0.831433035	-0.804574717	-0.670918885	-0.571452087	-1.047187074	-0.518525635	-0.944955229	-0.86623764	-0.797049998	-0.628392395	-0.945040311	-0.956481154	-1.021748933	-0.937854574	-0.566745513	-0.662811553	-0.705194376	-0.844963684	-0.800207996	-0.858792074	-0.686871327	-0.907979082
AANAT	-0.001625987	0.034177908	-0.091687735	-0.120438086	-0.10637646	0.016041082	-0.054944319	0.054643541	-0.049590435	-0.010679827	0.069846177	-0.268719894	-0.015264021	-0.063265382	-0.149245697	-0.176670453	-0.117777669	0.023655084	0.052628134	0.004784433	-0.053822182	-0.012898914	-0.069930993	-0.006546758	-0.053345933	-0.152138203	-0.212907476	-0.057261342	-0.075805676	0.01375478	-0.069081965	0.073514108	0.011288613
AAR2	-0.060333599	-0.037581166	0.001477686	0.051828652	0.139514471	0.059564348	0.05501327	0.01329208	0.135549774	-0.013166886	0.085397641	-0.007574209	-0.035591924	-0.135251089	-0.157141193	0.089684656	0.13124755	0.086323031	0.086068424	-0.04748806	0.16659429	0.044368131	-0.005861529	0.278765802	0.028076512	0.038468101	-0.031611269	0.000889197	0.074776542	-0.070061558	-0.086751393	0.021162324	-0.167828595
AARD	0.350261421	0.433943446	0.333138385	0.508613263	0.369317654	0.510627939	0.431550306	0.466513528	0.480205848	0.34959733	0.342203699	0.267524631	0.381266818	0.339227773	0.379944749	0.513700189	0.405063074	0.334078081	0.362688829	0.258194365	0.393672666	0.395344149	0.340866449	0.32641264	0.345080852	0.575809	0.570084991	0.361829442	0.250558251	0.424481588	0.708048608	0.436855224	0.438953883
AARS	-0.587980029	-0.735751168	-0.779473757	-0.679314875	-0.908055826	-0.809437739	-0.636154263	-0.836719564	-0.834883219	-0.73467481	-0.664511722	-0.834602748	-0.70039973	-0.67880172	-0.857630427	-0.57509692	-0.867410602	-0.654184986	-0.652597411	-0.566544666	-0.653658513	-0.733680396	-0.853728973	-0.613397082	-0.645444027	-0.831639194	-0.684693497	-0.880177665	-0.651799348	-0.793657065	-0.732172206	-0.79662397	-0.742837611
AARS2	-0.476492433	-0.253548742	-0.468603797	-0.337225707	-0.107181375	-0.027923874	-0.517398778	-0.658959476	-0.440653017	-0.533148972	-0.473616575	-0.554923116	-0.444669326	-0.495028348	-0.307321989	-0.560579688	-0.093601958	-0.299431774	-0.302264209	-0.459174212	-0.325959107	-0.24040145	-0.353170301	-0.151429768	-0.256594073	-0.302031203	-0.134412224	-0.3318242	-0.286214093	-0.366734463	-0.449223194	-0.381181455	-0.514101413
AARSD1	0.027679392	-0.061123628	0.007180992	0.107711834	0.012507052	0.070643031	-0.051169203	0.008632345	0.126447533	0.016434985	-0.059124061	-0.002340395	0.05411343	-0.135279885	0.025742556	0.029948054	0.098949506	0.04657253	0.221689256	0.041708098	-0.110270745	-0.003735834	-0.035534173	-0.078716941	0.062604822	0.137293587	0.052722398	0.099541498	0.053773244	0.097928249	0.07319386	-0.082106513	0.103782753
AASDH	-0.197609102	-0.26153299	-0.21274714	-0.066500404	-0.207652056	-0.134842077	-0.219001104	-0.290666911	-0.357084186	-0.203633207	-0.294219671	-0.387300821	-0.159721046	0.02161908	-0.470070693	-0.169762007	-0.313031316	-0.369716002	-0.393722108	-0.283959514	-0.33015822	-0.303342905	-0.218174062	-0.264521015	-0.026619392	-0.441239143	-0.325014944	-0.245932634	-0.298184308	-0.223796609	-0.273657513	-0.276691854	-0.518847355
AASDHPPT	-1.232380748	-1.44256115	-1.170738143	-1.0499837	-1.182064656	-1.312860384	-1.253680123	-1.428950867	-1.166659813	-1.152116851	-1.21950378	-1.412665422	-0.768299047	-1.02818241	-1.615413132	-1.308726146	-1.564920707	-1.446481342	-1.346513452	-1.317592473	-0.984665233	-1.137648177	-0.928334076	-0.798257161	-1.243733558	-1.177413404	-0.719840786	-1.063716735	-0.882400737	-1.048157561	-1.499840687	-1.398273912	-1.445963777
AASS	-0.087807175	-0.163794966	-0.12593897	-0.131362033	-0.131183947	-0.066709859	-0.043604017	-0.065492645	-0.065789978	-0.058461048	-0.149746027	-0.040019838	-0.071432225	0.110329217	-0.113019946	-0.101264596	-0.103454216	0.053803645	0.033001135	-0.047820697	-0.095638638	-0.031157164	-0.084979136	-0.175131622	0.044290628	-0.054366821	-0.15490576	-0.262482289	-0.04983926	-0.053129429	-0.233370337	-0.253800248	-0.107463919
AATF	-0.424798978	-0.564204621	-0.555447076	-0.607056684	-0.400898352	-0.396125513	-0.514720603	-0.563681602	-0.782519967	-0.665085287	-0.785217816	-0.37003523	-0.42459178	-0.477444709	-0.449249895	-0.467101183	-0.813787086	-0.827016662	-0.598251054	-0.501569344	-0.531835472	-0.483568874	-0.690029164	-0.509378504	-0.569816486	-0.735240489	-0.469819355	-0.766807466	-0.457471501	-0.404046534	-0.411520001	-0.466717002	-0.473178461
AATK	0.087270706	-0.139551994	-0.19514943	-0.169781517	-0.229137121	-0.106851571	-0.002045142	-0.047974388	-0.110120661	-0.234629189	-0.163898849	-0.172374983	-0.127468062	-0.056646207	-0.199555556	-0.272637343	-0.28227874	-0.294636194	-0.103225725	-0.072365391	-0.218000513	-0.178685444	-0.061124269	0.046933506	-0.10853113	-0.179433201	0.016239456	-0.143911229	-0.070428548	-0.182257743	-0.112700012	-0.224511574	0.104010641
ABAT	-0.207817581	-0.265586767	-0.108414915	0.032431837	-0.221853884	-0.219722955	-0.151133975	-0.295817781	-0.152337554	-0.170474085	-0.193217782	-0.202428808	-0.17831806	0.023139049	-0.204519331	-0.254692069	-0.231437887	-0.149882509	-0.406346798	-0.09837635	-0.205249443	-0.10937289	-0.010663276	-0.02925646	-0.26375705	-0.38245989	-0.152498776	-0.180973036	-0.032595705	-0.186900533	-0.279208721	-0.260362318	-0.472966275
ABCA1	0.234632056	-0.014435167	0.03529661	0.207309309	0.238693449	0.232315827	0.229217774	0.13634146	0.065020655	0.216908455	0.071743126	0.074865156	0.053630373	0.144533521	0.081384936	0.134713553	0.234354777	0.164902941	0.116431011	0.068388156	0.14390944	0.120537236	0.065040842	-0.003008473	0.129612677	0.170107006	0.182174851	0.263821474	0.048849136	0.097731772	0.153192195	0.096872587	0.179618725
ABCA10	0.481707772	0.441281731	0.398612713	0.663580388	0.657586912	0.624895502	0.522175148	0.521988325	0.454088666	0.561658573	0.359498927	0.287240558	0.319257903	0.516812615	0.475717634	0.525710592	0.554804442	0.497891077	0.780643366	0.371977318	0.456281653	0.320173164	0.416190957	0.500099691	0.450987443	0.654604139	0.651185034	0.572216032	0.328475614	0.530170765	0.672394621	0.707919748	0.694539353
ABCA12	0.092525116	0.079247627	0.059309502	0.049133199	0.064364394	0.173994939	0.083889583	0.043163402	0.049199384	0.100702782	0.189322823	0.05337489	0.133633947	0.156332657	0.065098823	0.118173978	0.034465463	0.051883819	0.073975712	0.091447514	0.042443674	0.089468488	0.046383998	0.011464113	0.109661007	0.121878643	0.020854655	0.024086909	0.063226013	0.067344002	0.052551717	0.222431965	0.045174491
ABCA13	0.127538088	-0.01490356	0.1334055	0.115332924	0.200471254	0.120113286	0.025155033	0.140928549	0.009920002	-0.036065548	0.009481114	0.158891678	0.015380393	0.04412162	0.208322601	0.160974726	0.04910687	0.069687437	-0.077857272	0.136770572	-0.16505377	0.082469445	-0.016245194	-0.03489414	-0.063961993	0.227893999	0.049785257	0.012180748	0.122015466	0.086459345	0.134045492	-0.003499726	0.026824654
ABCA2	-0.167782745	-0.21599872	-0.324405184	0.052123672	0.069106859	-0.190878235	-0.122977125	-0.215415097	-0.07843278	-0.170056804	-0.122009384	-0.152653362	-0.184151534	-0.281176241	-0.248094564	-0.236134688	-0.20805269	-0.112280963	-0.038962201	-0.144785263	-0.170192441	-0.119447089	-0.0365236	-0.082689065	-0.078377384	-0.423232893	-0.003931601	-0.116537857	-0.215264354	-0.438735558	-0.095006504	0.002503949	-0.186880935
ABCA3	-0.171514158	-0.165028168	-0.090475938	-0.228675235	-0.340784249	-0.126427782	-0.142429486	-0.364424113	-0.231150299	-0.150552002	-0.197227517	-0.269833188	-0.143436398	-0.269237637	-0.396498589	-0.286476366	-0.14954044	-0.183380563	-0.23450485	-0.225222159	-0.166451652	-0.189705172	-0.263744796	-0.173420787	-0.010385177	-0.269927866	-0.277531885	-0.291538305	-0.112268132	-0.256854607	-0.189106082	-0.157029842	-0.168792781
ABCA4	-0.112608015	-0.063405155	-0.128039744	-0.063022778	-0.133910844	-0.116848116	0.029226635	-0.116172911	0.092926491	0.041924189	-0.256749022	0.062797399	-0.046753244	0.025978266	-0.003870518	-0.105563046	-0.035728562	-0.110658847	-0.111172612	-0.131563385	-0.133705267	-0.014793762	-0.145121781	-0.129705708	-0.12407763	-0.059702979	-0.090529537	-0.198036132	-0.038483653	-0.065983019	-0.028980267	0.090803092	-0.010368211
ABCA5	-0.064532035	-0.244014369	-0.185461227	-0.176073544	-0.10262083	-0.120968642	-0.153876291	0.003539555	-0.200579433	0.061168395	-0.02519198	-0.25876581	-0.06479875	-0.051875927	-0.098858409	-0.070358526	-0.565089556	-0.086649253	0.022335035	-0.039887318	-0.287353998	-0.186138328	-0.059907176	-0.151670223	-0.218899344	-0.290502743	-0.218322347	-0.170371339	-0.055558062	-0.047962477	-0.25852115	-0.054421608	-0.238622535
ABCA6	0.250034924	0.202005119	0.10345001	0.327626317	0.338048135	0.268187931	0.182873008	0.17641788	0.123363063	0.154969837	0.270062607	0.236380434	0.143189221	0.204327773	0.33434009	0.273707718	0.210348851	0.200588725	0.380134983	0.186053116	0.126528042	0.102240073	0.31129054	0.188628329	0.257435246	0.479039723	0.19099889	0.131402777	0.213285652	0.406537133	0.163456426	0.275055975	0.341226695
ABCA7	-0.153488127	-0.080141047	-0.065782197	0.053110992	0.016645393	0.04876016	-0.013604679	0.098684077	0.039721669	-0.116672321	-0.016325203	0.139496819	-0.006554125	-0.179251385	0.21047243	-0.075271489	0.228436056	-0.010698712	0.042906827	-0.074728036	-0.115174315	0.029523017	-0.116331935	0.043389532	-0.1814927	-0.024079879	0.029530205	-0.010435438	-0.019095444	-0.081123033	0.226629689	0.199588387	-0.053502087
ABCA8	0.337778078	0.214216227	0.216209009	0.394791885	0.30876988	0.350775238	0.140929976	0.399068396	0.152080338	0.486638623	0.200661839	0.197939981	0.28401286	0.417392081	0.231769584	0.385682185	0.258360595	0.365500968	0.490659828	0.225792199	0.238387508	0.165898583	0.348559154	0.197415104	0.339888782	0.392902666	0.39016346	0.334201452	0.194285166	0.451124949	0.404198876	0.482273849	0.318808991
ABCA9	0.052081755	-0.022397554	-0.036885439	0.069524326	-0.072836749	0.052190589	0.104281845	0.019528602	0.021506601	0.056845306	0.009098384	0.083370155	-0.055522467	-0.014014132	0.313308716	0.021565573	0.008320839	0.046812526	0.207838138	0.006642816	-0.040606473	0.015858255	0.090232858	-0.166562015	0.068146125	-0.037480229	0.061474795	-0.02035675	0.029425826	0.110915834	0.072107335	0.010713934	0.005635905
ABCB1	0.057807685	0.035483123	0.014953974	0.033901256	-0.024193998	-0.023816416	0.096579469	0.266348284	0.070824306	-0.075565028	0.007269871	0.079215119	-0.052445497	-0.092757018	-0.072837163	0.183972376	0.063184661	0.088794738	0.209057298	-0.01324659	0.102367718	0.026025271	0.011166088	-0.022635209	-0.083371498	0.035816109	0.073497854	0.12535007	0.08328984	0.083414516	-0.017408054	0.133755856	0.043589776
ABCB10	-0.02719285	-0.17761572	-0.062621785	0.064668174	-0.267518379	-0.049613422	-0.086029422	-0.093539989	0.04013375	-0.130507377	-0.083482806	0.024376139	-0.000502835	0.087195785	-0.104365901	-0.082836576	-0.160701491	-0.07158174	0.091202351	-0.092126923	-0.14746523	-0.070347746	0.046367144	-0.028005788	-0.103275518	-0.187456846	-0.208260472	-0.073265659	-0.074190799	-0.063471633	-0.226590825	-0.254469916	-0.128216404
ABCB11	-0.328635844	-0.492429983	-0.396045146	-0.310149696	-0.228038002	-0.35917276	-0.17709612	-0.2749272	-0.104729673	-0.085606318	-0.460373902	-0.272899803	-0.253196622	-0.344170998	-0.439622709	-0.324902062	-0.384693831	-0.153081266	-0.451339328	-0.164597563	-0.234423008	-0.270507219	-0.193733667	-0.463956314	-0.119409749	-0.782400328	-0.425731305	-0.442116041	-0.200014829	-0.19491516	-0.378076978	-0.360109377	-0.266141917
ABCB4	-0.067699144	0.047873321	0.058220991	-0.039243176	-0.011131895	-0.122547316	0.059067159	0.173854831	-0.044658326	0.068907586	0.001961235	0.170284096	0.00224348	-0.041281746	-0.243374773	0.105959676	-0.159776232	0.016318801	0.041008826	-0.12174192	0.164498434	0.088451524	0.042592453	0.082524326	-0.056819884	0.257446351	-0.025077527	0.077142235	0.021486693	-0.043000882	0.086609563	-0.036494807	-0.114141243
ABCB5	0.39449861	0.350205748	0.290113071	0.470851869	0.530049586	0.437854625	0.309801438	0.615118926	0.340854493	0.484850002	0.381451643	0.205361858	0.37313773	0.476099648	0.435629294	0.477960664	0.493848332	0.465490944	0.415860376	0.182756846	0.357076138	0.231010504	0.310988641	0.207914789	0.307805126	0.376197831	0.646715071	0.464271415	0.285144106	0.4668404	0.455568316	0.465379451	0.53231757
ABCB6	0.006115706	-0.03594609	0.039398455	-0.090610546	0.000457765	-0.013971897	0.011518889	0.113014547	-0.044624048	0.080878325	-0.006238166	0.003847918	-0.015471127	0.038002736	-0.038016346	0.016469117	0.148839696	0.105494375	0.047010084	0.04560703	0.202746298	0.064748651	0.069787183	-0.051026923	0.179084759	-0.002222469	0.104922534	0.102355121	-0.036826358	0.010837591	-0.140124407	0.037205963	0.123684323
ABCB8	-0.004323908	-0.11157629	-0.1715137	-0.28008368	-0.024758129	-0.050272699	0.048343575	-0.015167389	-8.21E-05	-0.055120491	-0.11106584	0.132708761	-0.120933512	-0.142958524	0.105504718	-0.034862636	0.017791356	-0.214668893	0.093420504	-0.158429347	-0.11640837	0.046607717	-0.060355931	0.009116008	0.035444567	-0.024653848	-0.200407519	-0.100483346	-0.005554976	-0.020083148	-0.151386709	-0.030342747	-0.074730517
ABCB9	-0.365563479	-0.277961257	-0.476702407	-0.463434029	-0.490523786	-0.483246767	-0.276626925	-0.354495536	-0.338514783	-0.302116826	-0.35640396	-0.389353523	-0.308980205	-0.567073815	-0.406867746	-0.423932534	-0.264079826	-0.366453	-0.350622201	-0.234509026	-0.454078014	-0.216639904	-0.395065537	-0.47652559	-0.369340774	-0.348904769	-0.722654389	-0.513445573	-0.204504146	-0.666753547	-0.428546877	-0.493220921	-0.323401681
ABCC1	-0.032280147	0.155701913	0.19383591	0.076031416	0.113428437	0.239450169	0.221210815	0.15727699	0.157857253	0.242340527	0.177620914	0.084511162	0.114417941	0.040572459	0.413760579	0.128811031	0.162904358	0.09128235	0.145891513	0.081603258	0.111897646	0.137881345	0.06136824	0.181042182	0.179567847	0.12822679	0.144212073	0.109551668	0.195761282	0.08160152	0.087167221	0.086301262	0.145835331
ABCC10	0.05412044	-0.112752236	-0.070767147	-0.023865459	-0.003993331	0.019693882	-0.120548182	-0.110939496	0.012534718	-0.057451492	0.009930498	-0.067845567	-0.051779907	0.010588949	-0.171612751	-0.072176762	-0.058772166	-0.105191772	-0.168591303	-0.133605323	-0.062061164	-0.058364396	-0.025275659	-0.201912455	-0.042803118	-0.000529137	0.016622835	0.033146126	-0.18027598	-0.143896078	-0.02046046	-0.030077479	-0.117247746
ABCC11	-0.052255369	-0.20307817	0.002748262	-0.275319805	-0.064028868	0.003138993	-0.053501688	-0.228312537	0.023161387	-0.131116967	-0.128450123	-0.294862292	0.017979085	-0.076914342	0.005270252	-0.208106048	-0.033647726	-0.096585621	-0.339834624	-0.115285404	-0.132973088	-0.037267387	-0.278168016	-0.118335586	0.045834918	-0.315892046	0.06467407	-0.075489145	-0.102461628	-0.096220752	-0.267284968	-0.254883691	-0.062637254
ABCC12	0.117779784	-0.111474103	-0.010755994	-0.125127123	-0.022823925	0.060163943	0.014042328	0.087789137	0.022196024	0.068859	-0.084042765	-0.052130442	-0.011067558	-0.048013544	-0.050298727	-0.086079474	-0.040736364	-0.045691233	-0.108463244	-0.029202472	-0.049122355	-0.063887793	-0.015944712	-0.165867947	-0.015682378	0.326564741	0.038378753	0.031132936	-0.067183423	-0.064461318	0.019791715	-0.094497118	0.106730199
ABCC2	-0.010218884	-0.079824536	-0.088489051	0.057750582	-0.181264656	0.044172665	0.010823029	-0.088836707	-0.037471321	-0.081319557	0.108828843	-0.13721865	0.027167689	-0.018032895	-0.319357275	0.03794255	0.062093945	-0.063871266	0.041422625	-0.078354211	0.032997394	-0.105167249	0.033435731	-0.040529598	-0.09348438	-0.053976159	0.104609061	0.036066821	-0.129717961	0.046931382	0.061490296	0.021047511	-0.044299705
ABCC3	-0.031173419	-0.030644273	0.015697608	0.086048905	-0.0620247	-0.103034149	-0.002162698	-0.041506529	-0.093612118	-0.090400142	-0.039125984	-0.005003736	0.025962053	0.121706831	-0.143512576	-0.183944216	-0.118027324	-0.084221738	0.161367151	0.009201716	0.020091481	-0.119001254	-0.062955246	-0.209606082	-0.07257976	-0.130432708	-0.064041607	-0.119509624	-0.092823051	0.022240669	0.023293323	-0.239893059	0.029909624
ABCC4	0.117833459	0.070599174	-0.026186416	0.088885611	0.114243656	0.192625128	-0.000524719	0.186683204	0.130715489	0.123734373	0.127246315	-0.168574802	0.045714647	0.063189938	-0.17094034	0.17999586	0.032468976	0.084785215	0.140490588	0.081460995	0.135270482	0.013635951	0.079602299	-0.032418519	0.165464879	0.208604025	0.047020539	0.149328295	0.050565828	0.077894017	0.114428035	-0.020576769	0.108501953
ABCC5	-0.114474373	-0.003219335	0.104972731	-0.103293726	-0.210993328	-0.175010629	0.169023204	-3.64E-05	0.102409272	-0.039952574	0.041320661	0.008158038	-0.039731804	0.03383856	0.496396132	-0.159477807	-0.150938519	0.025248487	0.195695148	0.159541065	0.036575353	0.051414588	0.149899648	-0.143668834	0.10934646	-0.033040338	-0.163751297	-0.152995036	0.131060033	-0.073843576	-0.028473697	-0.107771074	-0.066642678
ABCC6	-0.381275182	-0.260086088	-0.255198181	-0.295245215	-0.535071643	-0.2408564	-0.333964317	-0.343502173	-0.278426953	-0.405712534	-0.308621511	-0.464165925	-0.14759867	-0.428569858	-0.388989654	-0.436576118	-0.178475745	-0.444186106	-0.254189573	-0.324492981	-0.328260583	-0.268168104	-0.423912557	-0.058939785	-0.619452903	-0.378397724	-0.172251741	-0.405399336	-0.075626363	-0.308813393	-0.479681553	-0.38813825	-0.459693755
ABCC8	-0.062674314	0.092870021	0.050886692	-0.062291108	-0.027490763	-0.117071214	-0.072467988	-0.044325371	-0.096658975	0.107493524	0.015873402	-0.133486164	0.032786273	-0.220454275	-0.255501057	0.008705208	-0.01286668	-0.132479727	-0.063471851	-0.132537442	-0.048364592	-0.088473138	0.115051213	0.009164521	-0.066718835	-0.05439199	0.041493048	-0.126891289	0.047818492	-0.016019414	-0.013159337	-0.088781443	-0.037103826
