gene	A375_SKIN	A673_BONE	BXPC3_PANCREAS	CADOES1_BONE	CAL120_BREAST	COLO741_SKIN	CORL105_LUNG	EW8_BONE	EWS502_BONE	G402_SOFT_TISSUE	HCC44_LUNG	HS294T_SKIN	HT29_LARGE_INTESTINE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L33_PANCREAS	LNCAPCLONEFGC_PROSTATE	MEWO_SKIN	MHHES1_BONE	NCIH1373_LUNG	NCIH2009_LUNG	PANC0327_PANCREAS	PANC0813_PANCREAS	PANC1_PANCREAS	PATU8902_PANCREAS	PATU8988T_PANCREAS	PC3_PROSTATE	RDES_BONE	SKES1_BONE	SU8686_PANCREAS	T47D_BREAST	TC32_BONE	TC71_BONE	TOV112D_OVARY
TEX2	0.083886894	0.007857956	0.021430157	-0.000500387	-0.091364276	-0.108881245	0.113356902	0.239712512	0.057428224	0.049046817	0.025703966	0.402982554	0.134352398	0.085941872	0.434224121	-0.029132321	0.120754508	-0.062337063	0.114449214	0.282743044	0.11803022	0.14014224	0.066780927	0.112977805	0.249584076	0.113446313	-0.031032588	-0.016871229	0.204432956	0.07821159	0.142167662	0.231418355	0.151612872
TEX22	-0.003756236	0.066579039	0.014651698	0.111489843	0.123173412	0.106399778	0.047328576	-0.00100659	0.087922883	0.067690927	0.019846169	0.064565069	0.032896183	0.206800865	-0.032453571	-0.02102128	0.086199195	0.088914251	0.066030664	0.124850954	0.243861004	0.016399091	-0.065919152	0.021243437	0.065204939	0.121275715	0.216367773	0.036952365	0.014621294	0.117854151	-0.085168313	-0.001575833	-0.003697737
TEX26	0.304159537	0.122833184	0.109311653	0.16506883	0.079299199	0.099452703	-0.000524038	0.104130967	0.109640655	0.041282593	0.041488309	0.175295095	0.105828926	0.110357098	0.072177898	0.190342704	0.094364423	0.069766696	-0.085708126	0.070440284	-0.109129067	0.132007552	0.110971649	0.132462406	0.090660841	0.001185988	0.014035925	0.0995332	0.148804154	0.198985509	0.019262835	0.089236708	0.253533396
TEX261	-0.009838024	-0.068157031	-0.11723	-0.327648514	0.013517864	-0.085161937	-0.140279414	-0.066436147	-0.188804067	-0.270379487	-0.35856128	-0.168396787	-0.029998296	-0.008978684	-0.187022979	-0.04883149	0.174467133	-0.25442025	-0.310124145	-0.278341542	-0.175643613	-0.103603818	-0.173380467	-0.039224531	0.022953047	-0.291313938	-0.200821658	-0.151137675	-0.040889874	-0.07594363	-0.280297205	-0.194977285	-0.010215308
TEX264	0.008735075	-0.125592859	-0.108575815	-0.112704506	-0.028756528	-0.172510451	-0.200444057	0.002214049	-0.106468668	-0.084886217	-0.163945606	-0.136834558	-0.124111255	-0.07223277	-0.355116205	-0.172226715	-0.185061964	-0.001102452	-0.378603877	-0.190971854	-0.235316148	-0.230819541	-0.182098828	-0.101147962	-0.102720252	-0.152183297	0.031109831	-0.097000492	-0.208670132	-0.05223865	-0.137267603	-0.291902371	-0.066650733
TEX29	-0.071201518	-0.104847666	-0.255469849	-0.121787385	0.092532299	-0.214631506	-0.216881398	-0.020993752	-0.124355682	-0.117607755	-0.026143467	-0.096553872	-0.126306385	-0.026315051	-0.224909442	-0.088520384	-0.12272222	-0.014474509	-0.216937344	-0.077292761	-0.258514155	-0.09582585	-0.16124149	-0.195732657	-0.271779082	-0.032655817	-0.246653572	-0.115741756	-0.11802596	-0.075716261	-0.035050756	-0.345984016	-0.105514387
TEX30	-0.049829796	-0.046428561	-8.22E-05	-0.05197591	0.090429014	-0.129007268	-0.162078396	-0.007125446	-0.088977007	-0.103459107	-0.042069254	-0.151551498	-0.13385831	-0.050830596	-0.093341278	-0.104352121	0.063485164	-0.111678796	-0.049035579	-0.051573113	-0.167598401	-0.054676031	0.008295539	-0.105534774	-0.103086625	0.012705193	0.046846697	-0.128070707	0.092399325	0.026487431	-0.000396667	-0.042017498	-0.071486394
TEX33	-0.174233457	0.033763214	-0.021768965	0.062090333	-0.161462176	-0.170495693	-0.189599436	-0.048261999	-0.06674018	-0.229938491	-0.199281034	-0.139389063	-0.039872732	-0.181634616	-0.33028772	-0.113626523	-0.090649768	-0.115318586	-0.273069572	-0.27713392	-0.336634516	-0.247252224	-0.035966998	-0.113188422	-0.12790401	0.002909125	-0.08124367	-0.005559769	-0.24296516	-0.011318963	-0.108478928	0.05497388	-0.216472927
TEX35	0.022333138	-0.00066975	-0.099884115	-0.091947541	-0.079624138	-0.093470839	0.014707013	-0.020840664	0.076906025	-0.197061105	0.007295073	-0.328875736	-0.083704752	-0.066506638	-0.156340633	-0.015761875	-0.20366053	0.029499826	-0.269525404	-0.093614049	-0.222504968	-0.147874512	0.063111155	-0.117785019	-0.107942583	0.069278987	-0.040545118	-0.038605648	0.02189823	-0.024701889	-0.018516706	0.021920157	-0.010630167
TEX36	0.049783294	-0.010770683	-0.025489288	0.134314476	0.044994395	0.047624491	-0.013151384	-0.005076187	-0.014318051	-0.058098114	0.164780152	0.117876251	0.071408874	0.114426691	0.030558394	0.149387145	0.072958829	0.263324521	0.138074528	0.063371936	0.07113983	-0.026951561	0.046544234	0.031150064	0.068344105	0.072920968	0.055121139	0.07013697	0.159564846	0.071030655	-0.031127261	0.151082615	0.012828811
