Name	Type	Category
gpnmsa_score	Variant Effect Predictor	Population-Free
jarvis	Residue-Level	Constraint Score-Based
mtr3daf2_5a	Residue-Level	Constraint Score-Based
mtr3daf2_8a	Residue-Level	Constraint Score-Based
mtr3daf2_11a	Residue-Level	Constraint Score-Based
mtr3daf2_14a	Residue-Level	Constraint Score-Based
popEVE	Variant Effect Predictor	Population-Tuned
ESM1v	Variant Effect Predictor	Population-Free
EVH_epistatic	Variant Effect Predictor	Population-Tuned
EVH_independent	Variant Effect Predictor	Population-Tuned
EWSIM	Variant Effect Predictor	Population-Tuned
UKBdepletion_score	Residue-Level	Constraint Score-Based
sigma_score	Variant Effect Predictor	Clinical-Trained Single Predictor
lof.pLI	Gene-Level	Gene constraint score-based
lof.z_score	Gene-Level	Gene constraint score-based
mis.z_score	Gene-Level	Gene constraint score-based
syn.z_score	Gene-Level	Gene constraint score-based
phi	Gene-Level	Gene constraint score-based
Residual_Variation_Intolerance_Score	Gene-Level	Gene constraint score-based
s_het	Gene-Level	Gene constraint score-based
pDN	Gene-Level	Gene constraint score-based
DN_pctl	Gene-Level	Gene constraint score-based
pGOF	Gene-Level	Gene constraint score-based
GOF_pctl	Gene-Level	Gene constraint score-based
pLOF	Gene-Level	Gene constraint score-based
LOF_pctl	Gene-Level	Gene constraint score-based
A375_SKIN	Gene-Level	Gene Knock-Out Studies
A673_BONE	Gene-Level	Gene Knock-Out Studies
BXPC3_PANCREAS	Gene-Level	Gene Knock-Out Studies
CADOES1_BONE	Gene-Level	Gene Knock-Out Studies
CAL120_BREAST	Gene-Level	Gene Knock-Out Studies
COLO741_SKIN	Gene-Level	Gene Knock-Out Studies
CORL105_LUNG	Gene-Level	Gene Knock-Out Studies
EW8_BONE	Gene-Level	Gene Knock-Out Studies
EWS502_BONE	Gene-Level	Gene Knock-Out Studies
G402_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
HCC44_LUNG	Gene-Level	Gene Knock-Out Studies
HS294T_SKIN	Gene-Level	Gene Knock-Out Studies
HT29_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
L33_PANCREAS	Gene-Level	Gene Knock-Out Studies
LNCAPCLONEFGC_PROSTATE	Gene-Level	Gene Knock-Out Studies
MEWO_SKIN	Gene-Level	Gene Knock-Out Studies
MHHES1_BONE	Gene-Level	Gene Knock-Out Studies
NCIH1373_LUNG	Gene-Level	Gene Knock-Out Studies
NCIH2009_LUNG	Gene-Level	Gene Knock-Out Studies
PANC0327_PANCREAS	Gene-Level	Gene Knock-Out Studies
PANC0813_PANCREAS	Gene-Level	Gene Knock-Out Studies
PANC1_PANCREAS	Gene-Level	Gene Knock-Out Studies
PATU8902_PANCREAS	Gene-Level	Gene Knock-Out Studies
PATU8988T_PANCREAS	Gene-Level	Gene Knock-Out Studies
PC3_PROSTATE	Gene-Level	Gene Knock-Out Studies
RDES_BONE	Gene-Level	Gene Knock-Out Studies
SKES1_BONE	Gene-Level	Gene Knock-Out Studies
SU8686_PANCREAS	Gene-Level	Gene Knock-Out Studies
T47D_BREAST	Gene-Level	Gene Knock-Out Studies
TC32_BONE	Gene-Level	Gene Knock-Out Studies
TC71_BONE	Gene-Level	Gene Knock-Out Studies
TOV112D_OVARY	Gene-Level	Gene Knock-Out Studies
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
143B_BONE	Gene-Level	Gene Knock-Out Studies
42MGBA_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
5637_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
59M_OVARY	Gene-Level	Gene Knock-Out Studies
639V_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
647V_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
769P_KIDNEY	Gene-Level	Gene Knock-Out Studies
786O_KIDNEY	Gene-Level	Gene Knock-Out Studies
8305C_THYROID	Gene-Level	Gene Knock-Out Studies
8MGBA_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
A2058_SKIN	Gene-Level	Gene Knock-Out Studies
A2780_OVARY	Gene-Level	Gene Knock-Out Studies
A549_LUNG	Gene-Level	Gene Knock-Out Studies
ABC1_LUNG	Gene-Level	Gene Knock-Out Studies
AGS_STOMACH	Gene-Level	Gene Knock-Out Studies
