Name	Type	Category
OVK18_OVARY	Gene-Level	Gene Knock-Out Studies
OVMANA_OVARY	Gene-Level	Gene Knock-Out Studies
OVTOKO_OVARY	Gene-Level	Gene Knock-Out Studies
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene-Level	Gene Knock-Out Studies
PANC0203_PANCREAS	Gene-Level	Gene Knock-Out Studies
PANC0403_PANCREAS	Gene-Level	Gene Knock-Out Studies
PANC1005_PANCREAS	Gene-Level	Gene Knock-Out Studies
PATU8988S_PANCREAS	Gene-Level	Gene Knock-Out Studies
PC14_LUNG	Gene-Level	Gene Knock-Out Studies
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	Gene-Level	Gene Knock-Out Studies
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
PK1_PANCREAS	Gene-Level	Gene Knock-Out Studies
PK45H_PANCREAS	Gene-Level	Gene Knock-Out Studies
PK59_PANCREAS	Gene-Level	Gene Knock-Out Studies
PLCPRF5_LIVER	Gene-Level	Gene Knock-Out Studies
PSN1_PANCREAS	Gene-Level	Gene Knock-Out Studies
RCC10RGB_KIDNEY	Gene-Level	Gene Knock-Out Studies
RD_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
RERFLCAD1_LUNG	Gene-Level	Gene Knock-Out Studies
RERFLCAI_LUNG	Gene-Level	Gene Knock-Out Studies
RH30_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
RKN_SOFT_TISSUE	Gene-Level	Gene Knock-Out Studies
RKO_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
RMUGS_OVARY	Gene-Level	Gene Knock-Out Studies
RPMI7951_SKIN	Gene-Level	Gene Knock-Out Studies
RT112_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
RT11284_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
RT4_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
RVH421_SKIN	Gene-Level	Gene Knock-Out Studies
SCABER_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
SF295_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
SF767_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
SH10TC_STOMACH	Gene-Level	Gene Knock-Out Studies
SIMA_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
SJSA1_BONE	Gene-Level	Gene Knock-Out Studies
SKBR3_BREAST	Gene-Level	Gene Knock-Out Studies
SKHEP1_LIVER	Gene-Level	Gene Knock-Out Studies
SKMEL24_SKIN	Gene-Level	Gene Knock-Out Studies
SKMEL30_SKIN	Gene-Level	Gene Knock-Out Studies
SKMES1_LUNG	Gene-Level	Gene Knock-Out Studies
SKNAS_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
SKNBE2_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
SKNDZ_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
SKNFI_AUTONOMIC_GANGLIA	Gene-Level	Gene Knock-Out Studies
SKNMC_BONE	Gene-Level	Gene Knock-Out Studies
SKOV3_OVARY	Gene-Level	Gene Knock-Out Studies
SLR20_KIDNEY	Gene-Level	Gene Knock-Out Studies
SLR23_KIDNEY	Gene-Level	Gene Knock-Out Studies
SLR26_KIDNEY	Gene-Level	Gene Knock-Out Studies
SNGM_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
SNU1_STOMACH	Gene-Level	Gene Knock-Out Studies
SNU201_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
SNU213_PANCREAS	Gene-Level	Gene Knock-Out Studies
SNU349_KIDNEY	Gene-Level	Gene Knock-Out Studies
SNU398_LIVER	Gene-Level	Gene Knock-Out Studies
SNU410_PANCREAS	Gene-Level	Gene Knock-Out Studies
SNU449_LIVER	Gene-Level	Gene Knock-Out Studies
SNU503_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
SNU685_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
SNU8_OVARY	Gene-Level	Gene Knock-Out Studies
SNU840_OVARY	Gene-Level	Gene Knock-Out Studies
SUIT2_PANCREAS	Gene-Level	Gene Knock-Out Studies
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
SW1463_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
SW403_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
SW48_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
SW620_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
SW837_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
T24_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
T3M4_PANCREAS	Gene-Level	Gene Knock-Out Studies
T84_LARGE_INTESTINE	Gene-Level	Gene Knock-Out Studies
T98G_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
TCCPAN2_PANCREAS	Gene-Level	Gene Knock-Out Studies
TCCSUP_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
TE1_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
TE5_OESOPHAGUS	Gene-Level	Gene Knock-Out Studies
TEN_ENDOMETRIUM	Gene-Level	Gene Knock-Out Studies
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene-Level	Gene Knock-Out Studies
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2	Gene-Level	Gene Knock-Out Studies
TOV21G_OVARY	Gene-Level	Gene Knock-Out Studies
TUHR10TKB_KIDNEY	Gene-Level	Gene Knock-Out Studies
TUHR4TKB_KIDNEY	Gene-Level	Gene Knock-Out Studies
U118MG_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
U178_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
U251MG_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
U2OS_BONE	Gene-Level	Gene Knock-Out Studies
U343_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
U87MG_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene-Level	Gene Knock-Out Studies
UACC257_SKIN	Gene-Level	Gene Knock-Out Studies
UACC62_SKIN	Gene-Level	Gene Knock-Out Studies
UMUC3_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
UOK101_KIDNEY	Gene-Level	Gene Knock-Out Studies
VMCUB1_URINARY_TRACT	Gene-Level	Gene Knock-Out Studies
WM115_SKIN	Gene-Level	Gene Knock-Out Studies
WM1799_SKIN	Gene-Level	Gene Knock-Out Studies
WM2664_SKIN	Gene-Level	Gene Knock-Out Studies
WM793_SKIN	Gene-Level	Gene Knock-Out Studies
WM983B_SKIN	Gene-Level	Gene Knock-Out Studies
YAPC_PANCREAS	Gene-Level	Gene Knock-Out Studies
YKG1_CENTRAL_NERVOUS_SYSTEM	Gene-Level	Gene Knock-Out Studies
ZR751_BREAST	Gene-Level	Gene Knock-Out Studies
Adipose_Subcutaneous	Gene-Level	Gene Expression
Adipose_Visceral_Omentum	Gene-Level	Gene Expression
Adrenal_Gland	Gene-Level	Gene Expression
Artery_Aorta	Gene-Level	Gene Expression
Artery_Coronary	Gene-Level	Gene Expression
Artery_Tibial	Gene-Level	Gene Expression
Bladder	Gene-Level	Gene Expression
Brain_Amygdala	Gene-Level	Gene Expression
Brain_Anterior_cingulate_cortex_BA24	Gene-Level	Gene Expression
Brain_Caudate_basal_ganglia	Gene-Level	Gene Expression
Brain_Cerebellar_Hemisphere	Gene-Level	Gene Expression
Brain_Cerebellum	Gene-Level	Gene Expression
Brain_Cortex	Gene-Level	Gene Expression
Brain_Frontal_Cortex_BA9	Gene-Level	Gene Expression
Brain_Hippocampus	Gene-Level	Gene Expression
Brain_Hypothalamus	Gene-Level	Gene Expression
Brain_Nucleus_accumbens_basal_ganglia	Gene-Level	Gene Expression
Brain_Putamen_basal_ganglia	Gene-Level	Gene Expression
Brain_Spinal_cord_cervical_c-1	Gene-Level	Gene Expression
Brain_Substantia_nigra	Gene-Level	Gene Expression
Breast_Mammary_Tissue	Gene-Level	Gene Expression
Cells_Cultured_fibroblasts	Gene-Level	Gene Expression
Cells_EBV-transformed_lymphocytes	Gene-Level	Gene Expression
Cervix_Ectocervix	Gene-Level	Gene Expression
Cervix_Endocervix	Gene-Level	Gene Expression
Colon_Sigmoid	Gene-Level	Gene Expression
Colon_Transverse	Gene-Level	Gene Expression
Colon_Transverse_Mixed_Cell	Gene-Level	Gene Expression
Colon_Transverse_Mucosa	Gene-Level	Gene Expression
Colon_Transverse_Muscularis	Gene-Level	Gene Expression
Esophagus_Gastroesophageal_Junction	Gene-Level	Gene Expression
Esophagus_Mucosa	Gene-Level	Gene Expression
Esophagus_Muscularis	Gene-Level	Gene Expression
Fallopian_Tube	Gene-Level	Gene Expression
Heart_Atrial_Appendage	Gene-Level	Gene Expression
Heart_Left_Ventricle	Gene-Level	Gene Expression
Kidney_Cortex	Gene-Level	Gene Expression
Kidney_Medulla	Gene-Level	Gene Expression
Liver	Gene-Level	Gene Expression
Liver_Hepatocyte	Gene-Level	Gene Expression
Liver_Mixed_Cell	Gene-Level	Gene Expression
Liver_Portal_Tract	Gene-Level	Gene Expression
Lung	Gene-Level	Gene Expression
Minor_Salivary_Gland	Gene-Level	Gene Expression
Muscle_Skeletal	Gene-Level	Gene Expression
Nerve_Tibial	Gene-Level	Gene Expression
Ovary	Gene-Level	Gene Expression
Pancreas	Gene-Level	Gene Expression
Pancreas_Acini	Gene-Level	Gene Expression
Pancreas_Islets	Gene-Level	Gene Expression
Pancreas_Mixed_Cell	Gene-Level	Gene Expression
Pituitary	Gene-Level	Gene Expression
Prostate	Gene-Level	Gene Expression
Skin_Not_Sun_Exposed_Suprapubic	Gene-Level	Gene Expression
Skin_Sun_Exposed_Lower_leg	Gene-Level	Gene Expression
Small_Intestine_Terminal_Ileum	Gene-Level	Gene Expression
Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Gene-Level	Gene Expression
Small_Intestine_Terminal_Ileum_Mixed_Cell	Gene-Level	Gene Expression
Spleen	Gene-Level	Gene Expression
Stomach	Gene-Level	Gene Expression
Stomach_Mixed_Cell	Gene-Level	Gene Expression
Stomach_Mucosa	Gene-Level	Gene Expression
Stomach_Muscularis	Gene-Level	Gene Expression
Testis	Gene-Level	Gene Expression
Thyroid	Gene-Level	Gene Expression
Uterus	Gene-Level	Gene Expression
Vagina	Gene-Level	Gene Expression
Whole_Blood	Gene-Level	Gene Expression
rel_pos_aa	Residue-Level	Structural
RSA	Residue-Level	Structural
HBonds	Residue-Level	Structural
contact_number_6A	Residue-Level	Structural
contact_number_8A	Residue-Level	Structural
contact_number_10A	Residue-Level	Structural
contact_number_12A	Residue-Level	Structural
SS_H	Residue-Level	Structural
SS_B	Residue-Level	Structural
SS_E	Residue-Level	Structural
SS_G	Residue-Level	Structural
SS_I	Residue-Level	Structural
SS_T	Residue-Level	Structural
SS_S	Residue-Level	Structural
SS_-	Residue-Level	Structural
FoldX_dG	Gene-Level	Structural
ESM2_650M_LLR	Mutation-Level	Protein Language Model-Derived
ESM2_3B_LLR	Mutation-Level	Protein Language Model-Derived
esm2_mean_log_likelihood_difference	Mutation-Level	Protein Language Model-Derived
esm2_perplexity_difference	Mutation-Level	Protein Language Model-Derived
esm2_cosine_similarity	Mutation-Level	Protein Language Model-Derived
esm2_avg_abs_difference	Mutation-Level	Protein Language Model-Derived
