Column	Class	Category
A375_SKIN	Gene knock-out studies	Gene-Based Metric
A673_BONE	Gene knock-out studies	Gene-Based Metric
BXPC3_PANCREAS	Gene knock-out studies	Gene-Based Metric
CADOES1_BONE	Gene knock-out studies	Gene-Based Metric
CAL120_BREAST	Gene knock-out studies	Gene-Based Metric
COLO741_SKIN	Gene knock-out studies	Gene-Based Metric
CORL105_LUNG	Gene knock-out studies	Gene-Based Metric
EW8_BONE	Gene knock-out studies	Gene-Based Metric
EWS502_BONE	Gene knock-out studies	Gene-Based Metric
G402_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
HCC44_LUNG	Gene knock-out studies	Gene-Based Metric
HS294T_SKIN	Gene knock-out studies	Gene-Based Metric
HT29_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
L33_PANCREAS	Gene knock-out studies	Gene-Based Metric
LNCAPCLONEFGC_PROSTATE	Gene knock-out studies	Gene-Based Metric
MEWO_SKIN	Gene knock-out studies	Gene-Based Metric
MHHES1_BONE	Gene knock-out studies	Gene-Based Metric
NCIH1373_LUNG	Gene knock-out studies	Gene-Based Metric
NCIH2009_LUNG	Gene knock-out studies	Gene-Based Metric
PANC0327_PANCREAS	Gene knock-out studies	Gene-Based Metric
PANC0813_PANCREAS	Gene knock-out studies	Gene-Based Metric
PANC1_PANCREAS	Gene knock-out studies	Gene-Based Metric
PATU8902_PANCREAS	Gene knock-out studies	Gene-Based Metric
PATU8988T_PANCREAS	Gene knock-out studies	Gene-Based Metric
PC3_PROSTATE	Gene knock-out studies	Gene-Based Metric
RDES_BONE	Gene knock-out studies	Gene-Based Metric
SKES1_BONE	Gene knock-out studies	Gene-Based Metric
SU8686_PANCREAS	Gene knock-out studies	Gene-Based Metric
T47D_BREAST	Gene knock-out studies	Gene-Based Metric
TC32_BONE	Gene knock-out studies	Gene-Based Metric
TC71_BONE	Gene knock-out studies	Gene-Based Metric
TOV112D_OVARY	Gene knock-out studies	Gene-Based Metric
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
143B_BONE	Gene knock-out studies	Gene-Based Metric
42MGBA_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
5637_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
59M_OVARY	Gene knock-out studies	Gene-Based Metric
639V_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
647V_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
769P_KIDNEY	Gene knock-out studies	Gene-Based Metric
786O_KIDNEY	Gene knock-out studies	Gene-Based Metric
8305C_THYROID	Gene knock-out studies	Gene-Based Metric
8MGBA_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
A2058_SKIN	Gene knock-out studies	Gene-Based Metric
A2780_OVARY	Gene knock-out studies	Gene-Based Metric
A549_LUNG	Gene knock-out studies	Gene-Based Metric
ABC1_LUNG	Gene knock-out studies	Gene-Based Metric
