Column	Class	Category
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	Gene knock-out studies	Gene-Based Metric
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
PK1_PANCREAS	Gene knock-out studies	Gene-Based Metric
PK45H_PANCREAS	Gene knock-out studies	Gene-Based Metric
PK59_PANCREAS	Gene knock-out studies	Gene-Based Metric
PLCPRF5_LIVER	Gene knock-out studies	Gene-Based Metric
PSN1_PANCREAS	Gene knock-out studies	Gene-Based Metric
RCC10RGB_KIDNEY	Gene knock-out studies	Gene-Based Metric
RD_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
RERFLCAD1_LUNG	Gene knock-out studies	Gene-Based Metric
RERFLCAI_LUNG	Gene knock-out studies	Gene-Based Metric
RH30_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
RKN_SOFT_TISSUE	Gene knock-out studies	Gene-Based Metric
RKO_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
RMUGS_OVARY	Gene knock-out studies	Gene-Based Metric
RPMI7951_SKIN	Gene knock-out studies	Gene-Based Metric
RT112_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
RT11284_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
RT4_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
RVH421_SKIN	Gene knock-out studies	Gene-Based Metric
SCABER_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
SF295_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
SF767_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
SH10TC_STOMACH	Gene knock-out studies	Gene-Based Metric
SIMA_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
SJSA1_BONE	Gene knock-out studies	Gene-Based Metric
SKBR3_BREAST	Gene knock-out studies	Gene-Based Metric
SKHEP1_LIVER	Gene knock-out studies	Gene-Based Metric
SKMEL24_SKIN	Gene knock-out studies	Gene-Based Metric
SKMEL30_SKIN	Gene knock-out studies	Gene-Based Metric
SKMES1_LUNG	Gene knock-out studies	Gene-Based Metric
SKNAS_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
SKNBE2_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
SKNDZ_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
SKNFI_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
SKNMC_BONE	Gene knock-out studies	Gene-Based Metric
SKOV3_OVARY	Gene knock-out studies	Gene-Based Metric
SLR20_KIDNEY	Gene knock-out studies	Gene-Based Metric
SLR23_KIDNEY	Gene knock-out studies	Gene-Based Metric
SLR26_KIDNEY	Gene knock-out studies	Gene-Based Metric
SNGM_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
SNU1_STOMACH	Gene knock-out studies	Gene-Based Metric
SNU201_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
SNU213_PANCREAS	Gene knock-out studies	Gene-Based Metric
SNU349_KIDNEY	Gene knock-out studies	Gene-Based Metric
SNU398_LIVER	Gene knock-out studies	Gene-Based Metric
SNU410_PANCREAS	Gene knock-out studies	Gene-Based Metric
SNU449_LIVER	Gene knock-out studies	Gene-Based Metric
SNU503_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
SNU685_ENDOMETRIUM	Gene knock-out studies	Gene-Based Metric
SNU8_OVARY	Gene knock-out studies	Gene-Based Metric
SNU840_OVARY	Gene knock-out studies	Gene-Based Metric
SUIT2_PANCREAS	Gene knock-out studies	Gene-Based Metric
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Gene knock-out studies	Gene-Based Metric
SW1463_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
SW403_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
SW48_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
SW620_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
SW837_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
T24_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
T3M4_PANCREAS	Gene knock-out studies	Gene-Based Metric
T84_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
